MG-RAST id,order of rows in Figure 5,virome/total_comm,project,sample id,genome project id,Pubmed id,percentage reads crAssphage,crAssphage reads,total reads,Biome,Feature,Material,Environmental Package
4547026.3,135,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F3T1.1,SRP002840,20631792,90.07428141,16734,18578,animal-associated habitat,human-associated habitat,feces,human-gut
4547023.3,141,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F3T1.3,SRP002840,20631792,87.52012089,26642,30441,animal-associated habitat,human-associated habitat,feces,human-gut
4547019.3,56,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F1M.2,SRP002840,20631792,86.37439791,21160,24498,animal-associated habitat,human-associated habitat,feces,human-gut
4547044.3,137,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F3T1.2,SRP002840,20631792,81.50609081,16192,19866,animal-associated habitat,human-associated habitat,feces,human-gut
4547015.3,49,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2T1.2,SRP002840,20631792,71.13623992,28749,40414,animal-associated habitat,human-associated habitat,feces,human-gut
4547047.3,50,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2T1.1(R),SRP002840,20631792,64.26227827,12535,19506,animal-associated habitat,human-associated habitat,feces,human-gut
4547038.3,52,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2T1.1,SRP002840,20631792,56.02391085,40019,71432,animal-associated habitat,human-associated habitat,feces,human-gut
4547049.3,117,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F4T2.1,SRP002840,20631792,51.50517235,14389,27937,animal-associated habitat,human-associated habitat,feces,human-gut
4547039.3,119,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F4M.2,SRP002840,20631792,47.83616367,11352,23731,animal-associated habitat,human-associated habitat,feces,human-gut
4547017.3,94,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F1M.1,SRP002840,20631792,47.47483032,23153,48769,animal-associated habitat,human-associated habitat,feces,human-gut
4547037.3,54,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2T1.3,SRP002840,20631792,41.66103477,11096,26634,animal-associated habitat,human-associated habitat,feces,human-gut
4547051.3,51,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2T2.2,SRP002840,20631792,33.56645282,12191,36319,animal-associated habitat,human-associated habitat,feces,human-gut
4547046.3,83,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F3T2.3,SRP002840,20631792,28.32791646,8193,28922,animal-associated habitat,human-associated habitat,feces,human-gut
4547021.3,120,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F4M.1,SRP002840,20631792,24.79183347,6193,24980,animal-associated habitat,human-associated habitat,feces,human-gut
4449582.3,67,virome,Diversity and abundance of single-stranded DNA viruses in human feces,F-C,,21948823,24.03171985,12819,53342,-,-,-,human-gut
4473699.3,60,total_community,Human Microbiome Project (HMP),SRR063921,,19819907,22.709595,15205054,66954316,terrestrial biome,human-associated habitat,feces,human-gut
4473693.3,59,total_community,Human Microbiome Project (HMP),SRR063915,,19819907,22.69693198,15143031,66718405,terrestrial biome,human-associated habitat,feces,human-gut
4547027.3,55,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2M.3,SRP002840,20631792,21.23393605,7551,35561,animal-associated habitat,human-associated habitat,feces,human-gut
4473371.3,91,total_community,Human Microbiome Project (HMP),SRR062395,,19819907,19.903655,12370572,62152263,terrestrial biome,human-associated habitat,feces,human-gut
4473399.3,92,total_community,Human Microbiome Project (HMP),SRR062423,,19819907,19.88610475,12327350,61989767,terrestrial biome,human-associated habitat,feces,human-gut
4547041.3,64,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2M.2,SRP002840,20631792,19.70919087,5449,27647,animal-associated habitat,human-associated habitat,feces,human-gut
4473362.3,96,total_community,Human Microbiome Project (HMP),SRR062386,,19819907,16.44691161,7838092,47656923,terrestrial biome,human-associated habitat,feces,human-gut
4478533.3,95,total_community,Human Microbiome Project (HMP),SRR062388,,19819907,16.27494687,7795023,47895843,terrestrial biome,human-associated habitat,feces,human-gut
4547029.3,228,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F4M.3(R),SRP002840,20631792,13.41334494,2157,16081,animal-associated habitat,human-associated habitat,feces,human-gut
4449584.3,123,virome,Diversity and abundance of single-stranded DNA viruses in human feces,F-D,,21948823,12.45333778,11943,95902,-,-,-,human-gut
4547030.3,224,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F4M.3,SRP002840,20631792,11.16959645,3374,30207,animal-associated habitat,human-associated habitat,feces,human-gut
4472518.3,204,total_community,Human Microbiome Project (HMP),SRR060410,,19819907,10.55625557,8040228,76165530,terrestrial biome,human-associated habitat,feces,human-gut
4472519.3,205,total_community,Human Microbiome Project (HMP),SRR060411,,19819907,10.51833118,8074167,76762814,terrestrial biome,human-associated habitat,feces,human-gut
4472413.3,148,total_community,Human Microbiome Project (HMP),SRR060026,,19819907,9.900434423,6410033,64744967,terrestrial biome,human-associated habitat,feces,human-gut
4547034.3,68,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2M.1(R),SRP002840,20631792,9.796542397,3332,34012,animal-associated habitat,human-associated habitat,feces,human-gut
4473086.3,63,total_community,Human Microbiome Project (HMP),SRR061931,,19819907,9.697101817,6821816,70349019,terrestrial biome,human-associated habitat,feces,human-gut
4472412.3,151,total_community,Human Microbiome Project (HMP),SRR060025,,19819907,9.695857298,6337921,65367309,terrestrial biome,human-associated habitat,feces,human-gut
4473087.3,62,total_community,Human Microbiome Project (HMP),SRR061932,,19819907,9.633048441,6797740,70566862,terrestrial biome,human-associated habitat,feces,human-gut
4472602.3,111,total_community,Human Microbiome Project (HMP),SRR061156,,19819907,8.492950504,4866134,57296154,terrestrial biome,human-associated habitat,feces,human-gut
4472595.3,114,total_community,Human Microbiome Project (HMP),SRR061149,,19819907,8.467226509,4794345,56622378,terrestrial biome,human-associated habitat,feces,human-gut
4547028.3,70,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2M.1,SRP002840,20631792,6.957981466,4062,58379,animal-associated habitat,human-associated habitat,feces,human-gut
4473402.3,208,total_community,Human Microbiome Project (HMP),SRR062426,,19819907,6.842048224,2019017,29508956,terrestrial biome,human-associated habitat,feces,human-gut
4449580.3,108,virome,Diversity and abundance of single-stranded DNA viruses in human feces,F-A,,21948823,6.776112459,6117,90273,-,-,-,human-gut
4478546.3,206,total_community,Human Microbiome Project (HMP),SRR062428,,19819907,6.768353246,1973607,29159338,terrestrial biome,human-associated habitat,feces,human-gut
4472580.3,131,total_community,Human Microbiome Project (HMP),SRR061134,,19819907,6.282664342,4626045,73631898,terrestrial biome,human-associated habitat,feces,human-gut
4472575.3,146,total_community,Human Microbiome Project (HMP),SRR061129,,19819907,6.263241177,4672121,74595898,terrestrial biome,human-associated habitat,feces,human-gut
4547042.3,53,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F2T2.1(R),SRP002840,20631792,5.922960761,2471,41719,animal-associated habitat,human-associated habitat,feces,human-gut
4472090.3,143,total_community,Human Microbiome Project (HMP),SRR038746,,19819907,5.922854849,2439069,41180631,terrestrial biome,human-associated habitat,feces,human-gut
4472560.3,142,total_community,Human Microbiome Project (HMP),SRR061111,,19819907,5.922854849,2439069,41180631,terrestrial biome,human-associated habitat,feces,human-gut
4478442.3,147,total_community,Human Microbiome Project (HMP),SRR061933,,19819907,5.774575194,4176826,72331312,terrestrial biome,human-associated habitat,feces,human-gut
4472101.3,192,total_community,Human Microbiome Project (HMP),SRR042181,,19819907,5.766675018,2401974,41652668,terrestrial biome,human-associated habitat,feces,human-gut
4472561.3,191,total_community,Human Microbiome Project (HMP),SRR061112,,19819907,5.766671881,2401975,41652708,terrestrial biome,human-associated habitat,feces,human-gut
4472104.3,161,total_community,Human Microbiome Project (HMP),SRR042184,,19819907,5.735806847,2346318,40906503,terrestrial biome,human-associated habitat,feces,human-gut
4472563.3,162,total_community,Human Microbiome Project (HMP),SRR061114,,19819907,5.735798995,2346318,40906559,terrestrial biome,human-associated habitat,feces,human-gut
4472100.3,156,total_community,Human Microbiome Project (HMP),SRR042027,,19819907,5.707928372,2339382,40984782,terrestrial biome,human-associated habitat,feces,human-gut
4472562.3,157,total_community,Human Microbiome Project (HMP),SRR061113,,19819907,5.70792406,2339384,40984848,terrestrial biome,human-associated habitat,feces,human-gut
4473089.3,149,total_community,Human Microbiome Project (HMP),SRR061934,,19819907,5.29624152,4147445,78309212,terrestrial biome,human-associated habitat,feces,human-gut
4472116.3,140,total_community,Human Microbiome Project (HMP),SRR059330,,19819907,5.258532868,3794739,72163455,terrestrial biome,human-associated habitat,feces,human-gut
4472117.3,130,total_community,Human Microbiome Project (HMP),SRR059331,,19819907,5.248682793,3762479,71684252,terrestrial biome,human-associated habitat,feces,human-gut
4547022.3,237,virome,Viruses in the faecal microbiota of monozygotic twins and their mothers,F3M.1,SRP002840,20631792,4.689616703,1177,25098,animal-associated habitat,human-associated habitat,feces,human-gut
4472597.3,219,total_community,Human Microbiome Project (HMP),SRR061151,,19819907,4.001757204,2521020,62997825,terrestrial biome,human-associated habitat,feces,human-gut
4472604.3,209,total_community,Human Microbiome Project (HMP),SRR061158,,19819907,3.932158709,2400725,61053614,terrestrial biome,human-associated habitat,feces,human-gut
4472165.3,202,total_community,Human Microbiome Project (HMP),SRR059379,,19819907,3.873336398,2378682,61411707,terrestrial biome,human-associated habitat,feces,human-gut
