run	Gbp	taxon_name	isolation_source
SRR10829621	0.378	Escherichia coli	blood
SRR10829622	0.431	Escherichia coli	wound
SRR10829623	0.427	Escherichia coli	respiratory tract
SRR10829624	0.412	Escherichia coli	blood
SRR11622451	1.134	Klebsiella pneumoniae	rectal
SRR11622452	1.002	Klebsiella pneumoniae	wound
SRR11622453	0.99	Klebsiella pneumoniae	line tip
SRR11622454	1.166	Klebsiella pneumoniae	genital
SRR11622455	1.002	Klebsiella pneumoniae	wound
SRR11622456	1.02	Klebsiella pneumoniae	respiratory
SRR11622457	1.055	Klebsiella pneumoniae	respiratory
SRR11622458	1.087	Klebsiella pneumoniae	gastrointestinal
SRR11622459	1.168	Klebsiella pneumoniae	gastrointestinal
SRR11622460	1.002	Klebsiella pneumoniae	wound
SRR11622461	1.212	Klebsiella pneumoniae	wound
SRR11622462	1.107	Klebsiella pneumoniae	gastrointestinal
SRR11622463	0.98	Klebsiella quasipneumoniae	gastrointestinal
SRR11622464	1.269	Klebsiella pneumoniae	gastrointestinal
SRR11622465	0.997	Klebsiella pneumoniae	genital
SRR11622466	1.223	Klebsiella pneumoniae	wound
SRR11622467	1.235	Klebsiella pneumoniae	urinary
SRR11622468	1.121	Klebsiella pneumoniae	line tip
SRR11622469	1.042	Klebsiella pneumoniae	urinary
SRR11622470	0.962	Klebsiella pneumoniae	urinary
SRR11622471	1.147	Klebsiella pneumoniae	wound
SRR11622472	1.08	Klebsiella pneumoniae	rectal
SRR11622473	1.083	Klebsiella pneumoniae	wound
SRR11622474	1.049	Klebsiella pneumoniae	respiratory
SRR11622475	0.992	Klebsiella pneumoniae	urinary
SRR11622476	0.902	Klebsiella pneumoniae	wound
SRR11622477	1.1	Klebsiella pneumoniae	urinary
SRR11622478	1.065	Klebsiella pneumoniae	urinary
SRR11622479	0.889	Klebsiella pneumoniae	wound
SRR11622480	1.236	Klebsiella pneumoniae	blood
SRR11622481	1.004	Klebsiella pneumoniae	urinary
SRR11622482	1.148	Klebsiella pneumoniae	urinary
SRR11622483	1.095	Klebsiella pneumoniae	urinary
SRR11622485	1.073	Klebsiella pneumoniae	urinary
SRR11622486	1.024	Klebsiella pneumoniae	urinary
SRR11622487	1.307	Klebsiella pneumoniae	urinary
SRR11622488	1.198	Klebsiella pneumoniae	respiratory
SRR11622489	1.097	Klebsiella pneumoniae	urinary
SRR11622490	1.042	Klebsiella pneumoniae	urinary
SRR11622491	1.099	Klebsiella pneumoniae	urinary
SRR11622492	1.252	Klebsiella quasipneumoniae	wound
SRR11622493	1.106	Klebsiella pneumoniae	wound
SRR11622494	0.974	Klebsiella pneumoniae	urinary
SRR11622495	1.197	Klebsiella pneumoniae	respiratory
SRR11622496	1.11	Klebsiella pneumoniae	urinary
SRR11622497	1.247	Klebsiella pneumoniae	urinary
SRR11622498	1.173	Klebsiella pneumoniae	blood
SRR11622499	1.292	Klebsiella pneumoniae	blood
SRR11622500	1.221	Klebsiella pneumoniae	respiratory
SRR11622501	1.194	Klebsiella pneumoniae	line tip
SRR11622502	1.405	Klebsiella pneumoniae	blood
SRR11622503	1.18	Klebsiella pneumoniae	urinary
SRR11622504	1.054	Klebsiella pneumoniae	urinary
SRR11622505	1.119	Klebsiella pneumoniae	urinary
SRR11622506	1.293	Klebsiella pneumoniae	blood
SRR11622507	1.119	Klebsiella pneumoniae	blood
SRR11622508	1.057	Klebsiella pneumoniae	respiratory
SRR11622509	1.263	Klebsiella pneumoniae	respiratory
SRR11622510	1.24	Klebsiella pneumoniae	blood
SRR11622511	1.067	Klebsiella pneumoniae	genital
SRR11622512	1.139	Klebsiella pneumoniae	blood
SRR11622513	1.157	Klebsiella pneumoniae	blood
SRR11622514	1.084	Klebsiella pneumoniae	wound
SRR11622515	1.208	Klebsiella pneumoniae	wound
SRR11622516	1.177	Klebsiella quasipneumoniae	gastrointestinal
SRR11622517	1.069	Klebsiella pneumoniae	blood
SRR11622518	1.082	Klebsiella pneumoniae	rectal
SRR11622519	1.119	Klebsiella pneumoniae	blood
SRR11622520	0.999	Klebsiella pneumoniae	genital
SRR11622521	1.102	Klebsiella pneumoniae	wound
SRR11622522	1.039	Klebsiella pneumoniae	urinary
SRR11622523	0.971	Klebsiella pneumoniae	blood
SRR11622524	1.226	Klebsiella pneumoniae	urinary
SRR11622525	1.091	Klebsiella pneumoniae	urinary
SRR11622526	1.059	Klebsiella pneumoniae	gastrointestinal
SRR11622527	1.172	Klebsiella pneumoniae	wound
SRR11622528	0.964	Klebsiella pneumoniae	wound
SRR11622529	1.111	Klebsiella pneumoniae	urinary
SRR11622530	1.202	Klebsiella pneumoniae	respiratory
SRR11622531	1.08	Klebsiella pneumoniae	wound
SRR11622532	1.06	Klebsiella pneumoniae	wound
SRR11622534	0.992	Klebsiella quasipneumoniae	urinary
SRR11622535	0.954	Klebsiella pneumoniae	genital
SRR11622536	1.039	Klebsiella pneumoniae	respiratory
SRR11622537	1.185	Klebsiella pneumoniae	urinary
SRR11622539	1.066	Klebsiella pneumoniae	wound
SRR11622540	1.198	Klebsiella pneumoniae	rectal
SRR11622541	1.128	Klebsiella pneumoniae	rectal
SRR11622542	0.929	Klebsiella pneumoniae	respiratory
SRR11622543	1.004	Klebsiella pneumoniae	blood
SRR11622544	1.096	Klebsiella pneumoniae	gastrointestinal
SRR11622545	1.193	Klebsiella pneumoniae	blood
SRR11622546	0.977	Klebsiella pneumoniae	gastrointestinal
SRR11622548	1.051	Klebsiella pneumoniae	gastrointestinal
SRR11622549	1.12	Klebsiella pneumoniae	gastrointestinal
SRR11622550	1.01	Klebsiella pneumoniae	respiratory
SRR11622551	1.012	Klebsiella pneumoniae	gastrointestinal
SRR11622552	1.033	Klebsiella pneumoniae	blood
SRR11622553	1.114	Klebsiella pneumoniae	blood
SRR11622555	1.214	Klebsiella pneumoniae	urinary
SRR11622556	0.954	Klebsiella pneumoniae	wound
SRR11622557	1.054	Klebsiella pneumoniae	blood
SRR11622558	0.96	Klebsiella pneumoniae	respiratory
SRR11622559	1.074	Klebsiella pneumoniae	respiratory
SRR11622560	1.04	Klebsiella pneumoniae	blood
SRR11622561	1.258	Klebsiella pneumoniae	blood
SRR11622562	1.037	Klebsiella pneumoniae	blood
SRR11622563	1.012	Klebsiella pneumoniae	respiratory
SRR11622564	1.154	Klebsiella pneumoniae	gastrointestinal
SRR11622565	1.012	Klebsiella pneumoniae	respiratory
SRR11622566	1.1	Klebsiella pneumoniae	gastrointestinal
SRR11622567	1.028	Klebsiella pneumoniae	wound
SRR11622568	1.043	Klebsiella pneumoniae	blood
SRR11622569	0.949	Klebsiella pneumoniae	wound
SRR11622570	1.009	Klebsiella pneumoniae	respiratory
SRR11622571	1.162	Klebsiella pneumoniae	wound
SRR11622572	1.05	Klebsiella pneumoniae	blood
SRR11622573	1.038	Klebsiella pneumoniae	blood
SRR11622574	1.087	Klebsiella pneumoniae	wound
SRR11622575	0.984	Klebsiella variicola	wound
SRR11622576	0.963	Klebsiella pneumoniae	wound
SRR11622577	1.003	Klebsiella pneumoniae	gastrointestinal
SRR11622578	0.892	Klebsiella pneumoniae	bone
SRR11622579	1.111	Klebsiella pneumoniae	urinary
SRR11622580	1.027	Klebsiella pneumoniae	blood
SRR11622581	1.112	Klebsiella pneumoniae	wound
SRR11622582	1.053	Klebsiella pneumoniae	wound
SRR11622583	0.884	Klebsiella pneumoniae	wound
SRR11622584	1.114	Klebsiella pneumoniae	blood
SRR11622585	1.156	Klebsiella pneumoniae	blood
SRR11622586	1.157	Klebsiella pneumoniae	respiratory
SRR11622588	0.972	Klebsiella pneumoniae	urinary
SRR11622589	0.964	Klebsiella pneumoniae	blood
SRR11622590	1.191	Klebsiella pneumoniae	wound
SRR11622591	0.997	Klebsiella pneumoniae	wound
SRR11622592	1.029	Klebsiella pneumoniae	wound
SRR11622593	0.977	Klebsiella pneumoniae	wound
SRR11622594	1.069	Klebsiella pneumoniae	wound
SRR11622595	0.892	Klebsiella quasipneumoniae subsp. quasipneumoniae	gastrointestinal
SRR11622596	1.062	Klebsiella pneumoniae	urinary
SRR11622597	1.027	Klebsiella pneumoniae	urinary
SRR11622598	1.04	Klebsiella pneumoniae	gastrointestinal
SRR11622599	1.089	Klebsiella pneumoniae	urinary
SRR11622600	1.081	Klebsiella quasipneumoniae	wound
SRR11622601	1.046	Klebsiella pneumoniae	bone
SRR11622602	0.959	Klebsiella pneumoniae	urinary
SRR11622603	1.095	Klebsiella pneumoniae	gastrointestinal
SRR11622604	1.059	Klebsiella variicola subsp. variicola	urinary
SRR11622605	1.074	Klebsiella pneumoniae	urinary
SRR11622606	1.058	Klebsiella pneumoniae	urinary
SRR11622607	1.28	Klebsiella variicola subsp. variicola	respiratory
SRR11622608	0.915	Klebsiella pneumoniae	wound
SRR11622609	1.028	Klebsiella pneumoniae	wound
