run	bioproject	Gbp	library_strategy	library_selection	model	sample_name	taxon_name	experiment_accession	experiment_title	library_name	library_source	library_layout	platform	submitter	study_accession	study_alias	study_centre_project_name	organisation	organisation_department	organisation_institution	organisation_street	organisation_city	organisation_country	organisation_contact_name	organisation_contact_email	sample_description	sample_alias	sample_accession	biosample	sample_title	strain	collected_by	collection_date	geo_loc_name	host	host_disease	isolation_source	lat_lon	BioSampleModel	study_title	design_description	study_abstract	study_links	number_of_runs_for_sample	spots	bases	run_size	published	read1_length_average	read1_length_stdev	read2_length_average	read2_length_stdev
SRR33475238	PRJNA1260529	0.315	WGS	size fractionation	Illumina MiSeq	965Kp_ILLUMINA	Klebsiella pneumoniae	SRX28710640	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	965Kp_ILLUMINA	GENOMIC	PAIRED	ILLUMINA	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		965Kp	SRS24976625	SAMN48397330		965Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	lungs	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	Performed by BIOFAB sequencing services	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	590314	314781081	114678224	2025-05-08 14:06:57	266.55	61.60	266.69	61.62
SRR33475239	PRJNA1260529	0.291	WGS	size fractionation	Illumina MiSeq	964Kp_ILLUMINA	Klebsiella pneumoniae	SRX28710639	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	964Kp_ILLUMINA	GENOMIC	PAIRED	ILLUMINA	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		964Kp	SRS24976624	SAMN48397329		964Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	lungs	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	Performed by BIOFAB sequencing services	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	559700	290738377	105567865	2025-05-08 14:06:57	259.64	63.85	259.82	63.89
SRR33475240	PRJNA1260529	0.296	WGS	size fractionation	Illumina MiSeq	959Kp	Klebsiella pneumoniae	SRX28710638	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	959Kp	GENOMIC	PAIRED	ILLUMINA	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		959Kp	SRS24976631	SAMN48397328		959Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	rectal swab	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	Performed by BIOFAB sequencing services	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	565488	296117541	107238875	2025-05-08 14:06:57	261.79	67.01	261.86	67.04
SRR33475241	PRJNA1260529	0.28	WGS	size fractionation	Illumina MiSeq	954Kp	Klebsiella pneumoniae	SRX28710637	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	954Kp	GENOMIC	PAIRED	ILLUMINA	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		954Kp	SRS24976630	SAMN48397327		954Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	rectal swab	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	Performed by BIOFAB sequencing services	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	536021	279773023	102000908	2025-05-08 14:06:57	260.96	67.64	260.99	67.68
SRR33475242	PRJNA1260529	0.296	WGS	size fractionation	Illumina MiSeq	953Kp	Klebsiella pneumoniae	SRX28710636	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	953Kp	GENOMIC	PAIRED	ILLUMINA	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		953Kp	SRS24976629	SAMN48397326		953Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	rectal swab	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	Performed by BIOFAB sequencing services	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	556428	296131052	107498531	2025-05-08 14:06:57	266.05	62.83	266.15	62.86
SRR33475243	PRJNA1260529	0.194	WGS	RANDOM	MinION	951Kp	Klebsiella pneumoniae	SRX28710635	Illumina Klebasiella pneumoniae ST512 NDM-5 KPC-3	951Kp	GENOMIC	SINGLE	OXFORD_NANOPORE	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		951Kp	SRS24976628	SAMN48397325		951Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	rectal swab	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	high molecular weight DNA extracted with New england Biolabs KIT	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	65758	194173298	179210400	2025-05-08 14:08:32	2952.85	9252.33		
SRR33475244	PRJNA1260529	0.028	WGS	RANDOM	MinION	949Kp	Klebsiella pneumoniae	SRX28710634	Illumina Klebasiella pneumoniae ST101 NDM-5 KPC-3	949Kp	GENOMIC	SINGLE	OXFORD_NANOPORE	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		949Kp	SRS24976627	SAMN48397324		949Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	rectal swab	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	high molecular weight DNA extracted with New england Biolabs KIT	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	51425	27610539	27609257	2025-05-08 14:06:56	536.91	3346.29		
SRR33475245	PRJNA1260529	0.359	WGS	size fractionation	Illumina MiSeq	937Kp	Klebsiella pneumoniae	SRX28710633	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	937Kp	GENOMIC	PAIRED	ILLUMINA	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		937Kp	SRS24976626	SAMN48397323		937Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	lungs	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	Performed by BIOFAB sequencing services	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	704748	359264287	129541409	2025-05-08 14:06:56	254.86	65.78	254.92	65.84
SRR33475246	PRJNA1260529	0.132	WGS	RANDOM	MinION	AMB201Kp_OXFORD_NANOPORE	Klebsiella pneumoniae	SRX28710632	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	AMB201Kp_OXFORD_NANOPORE	GENOMIC	SINGLE	OXFORD_NANOPORE	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		AMB201Kp	SRS24976623	SAMN48397334		AMB201Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Hospital environment	Nd	hospital environment	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	high molecular weight DNA extracted with New england Biolabs KIT	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	42093	132276932	121392304	2025-05-08 14:08:32	3142.49	7108.89		
SRR33475247	PRJNA1260529	0.099	WGS	RANDOM	MinION	965Kp_OXFORD_NANOPORE	Klebsiella pneumoniae	SRX28710631	Illumina Klebasiella pneumoniae ST147 NDM-1 OXA-48	965Kp_OXFORD_NANOPORE	GENOMIC	SINGLE	OXFORD_NANOPORE	Sanita pubblica e malattie infettive, Sapienza University	SRP583947	PRJNA1260529		Sapienza University	Sanita pubblica e malattie infettive	Sapienza University	piazzale aldo moro 5	roma	Italy	valerio capitani	valerio.capitani@uniroma1.it		965Kp	SRS24976625	SAMN48397330		965Kp	policlinico Umberto I Hospital	2025-03	Italy: Rome	Homo sapiens	Nd	lungs	41.9028 N 12.4964 E	Pathogen.cl	Klebsiella pneumoniae ST147 co-harbouring NDM and OXA-48 outbreak in Rome, Italy	high molecular weight DNA extracted with New england Biolabs KIT	An outbreak caused mainly by K. pneumoniae ST147 co-harboring NDM-1 and OXA-48 carbapenemases spread between several wards in a large teaching hospital in Rome, Italy. Other relevant sequence types (ST101 and ST512) co-harboring NDM-5 and KPC-3 carbapenemases was identified at the same time.	[]	1	25891	99376721	91034362	2025-05-08 14:08:32	3838.27	10255.32		
