.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
925Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
925Kp_2	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
930Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
930Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
937Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
937Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
953Kp_1	1	1	0.25	1	0.25	0.5	0.5	0.5	1	1	1
953Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
954Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
954Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
959Kp_1	1	1	0.25	1	0.25	0.5	0.5	0.5	1	1	1
959Kp_2	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
964Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
964Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
965Kp_1	1	1	0.25	1	0.25	0.5	0.5	0.5	1	1	1
965Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
966Kp_1	1	1	0.25	1	0.25	0.5	0.5	0.5	1	1	1
966Kp_2	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
967Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
967Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
975Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
975Kp_2	1	1	0.5	1	0.25	0.5	1	0.5	1	1	1
AMB201Kp_1	1	1	0.25	1	0.25	0.25	0.5	0.5	1	1	1
AMB201Kp_2	1	1	0.5	1	0.25	0.25	1	0.5	1	1	1
