Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
925Kp_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00014738176298064877)	(35, 0.00014738176298064877)	(40, 0.00038319258374968685)	(45, 0.0005305743467303355)	(50, 0.0005895270519225951)	(55, 0.0007663851674993737)	(60, 0.0011201013986529306)	(65, 0.0014148649246142283)	(70, 0.001798057508363915)	(75, 0.0021222973869213426)	(80, 0.002210726444709732)	(85, 0.002652871733651678)	(90, 0.0028297298492284567)	(95, 0.004421452889419463)	(100, 0.005453125230284004)	(105, 0.006072128634802729)	(110, 0.007103800975667271)	(115, 0.008135473316531814)	(120, 0.009078716599607965)	(125, 0.010493581524222192)	(130, 0.01202635185922094)	(135, 0.012851689731912575)	(140, 0.013470693136431297)	(145, 0.01450236547729584)	(150, 0.015504561465564249)	(155, 0.017391048031716556)	(160, 0.01924805824527273)	(165, 0.021046115753636647)	(170, 0.02231359891527022)	(175, 0.023227365845750247)	(180, 0.02511385241190255)	(185, 0.0266466227469013)	(190, 0.0288278728390149)	(195, 0.031687079040839485)	(200, 0.03375042372256857)	(205, 0.035931673814682166)	(210, 0.03849611649054546)	(215, 0.042328042328042326)	(220, 0.04621892087073146)	(225, 0.048901268956979264)	(230, 0.05317534008341808)	(235, 0.057449411209856895)	(240, 0.0634036344342751)	(245, 0.06956419212686622)	(250, 0.07481098288897732)	(255, 0.08067677705560714)	(260, 0.08863539225656218)	(265, 0.09653505475232495)	(270, 0.10443471724808773)	(275, 0.11354291020029181)	(280, 0.12385963360893722)	(285, 0.134028975254602)	(290, 0.13470693136431297)
925Kp_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00014738176298064877)	(35, 0.0004126689363458167)	(40, 0.0005895270519225952)	(45, 0.0010021959882684118)	(50, 0.0011495777512490603)	(55, 0.001444341277210358)	(60, 0.0017685811557677854)	(65, 0.0021812500921136024)	(70, 0.002328631855094251)	(75, 0.002770777144036197)	(80, 0.0030065879648052346)	(85, 0.0033603041959587923)	(90, 0.0035371623115355707)	(95, 0.003920354895285257)	(100, 0.004480405594611723)	(105, 0.005158361704322707)	(110, 0.005305743467303356)	(115, 0.005659459698456913)	(120, 0.006425844865956288)	(125, 0.007162753680859531)	(130, 0.008076520611339552)	(135, 0.009108192952204094)	(140, 0.009992483530087987)	(145, 0.01211478091700933)	(150, 0.013912838425373242)	(155, 0.015327703349987473)	(160, 0.016595186511621056)	(165, 0.018069004141427543)	(170, 0.019601774476426283)	(175, 0.02063344681729083)	(180, 0.022107264447097316)	(185, 0.02399375101324962)	(190, 0.026145524752767095)	(195, 0.028916301896803286)	(200, 0.031274410104493666)	(205, 0.03316089667064598)	(210, 0.03687491709775832)	(215, 0.03929197801064096)	(220, 0.043064951142945576)	(225, 0.047250593211596)	(230, 0.05243843126851483)	(235, 0.058923228839663375)	(240, 0.06499535747446611)	(245, 0.07106748610926884)	(250, 0.08011672635628067)	(255, 0.08910701389810025)	(260, 0.09871630484443855)	(265, 0.10891512284269944)	(270, 0.12058775847076683)	(275, 0.13397002254940973)	(280, 0.1506536381188192)	(285, 0.16598134146880666)	(290, 0.1671309192200557)
930Kp_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011203184691968437)	(35, 0.0003360955407590531)	(40, 0.00037343948973228124)	(45, 0.0008962547753574749)	(50, 0.0012696942650897562)	(55, 0.0017178216527684938)	(60, 0.002053917193527546)	(65, 0.002427356683259828)	(70, 0.002427356683259828)	(75, 0.003062203815804706)	(80, 0.0032862675096440746)	(85, 0.0039584585911621815)	(90, 0.004219866233974777)	(95, 0.00537752865214485)	(100, 0.007132694253886572)	(105, 0.007730197437458222)	(110, 0.008365044570003099)	(115, 0.009261299345360574)	(120, 0.010418961763530646)	(125, 0.01135256048786135)	(130, 0.01232350316116528)	(135, 0.012958350293710157)	(140, 0.014041324813933775)	(145, 0.01512429933415739)	(150, 0.016692745191032973)	(155, 0.018223847098935327)	(160, 0.020016356649650274)	(165, 0.021099331169873888)	(170, 0.022891840720588842)	(175, 0.024721694220277018)	(180, 0.026962331158670704)	(185, 0.028493433066573058)	(190, 0.03047266236215415)	(195, 0.032489235606708466)	(200, 0.03596222286121868)	(205, 0.038314891646532054)	(210, 0.04171319100309581)	(215, 0.0451488343086328)	(220, 0.04757619099189263)	(225, 0.050563706909750886)	(230, 0.05426075785810046)	(235, 0.05721092982698549)	(240, 0.06273783427502325)	(245, 0.06804067502922165)	(250, 0.07345554763033972)	(255, 0.07924385972119008)	(260, 0.08447201257744202)	(265, 0.0902976686172656)	(270, 0.09929756031981359)	(275, 0.10725182145111119)	(280, 0.11345091698066703)	(285, 0.12077033097941973)	(290, 0.12099439467325912)
930Kp_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011203184691968437)	(35, 0.0003360955407590531)	(40, 0.0007095350304913344)	(45, 0.0013443821630362124)	(50, 0.0016057898058488094)	(55, 0.002464700632233056)	(60, 0.0028007961729921093)	(65, 0.003024859866831478)	(70, 0.003510331203483444)	(75, 0.004443929927814147)	(80, 0.005004089162412569)	(85, 0.005713624192903903)	(90, 0.006087063682636184)	(95, 0.006497847121341695)	(100, 0.006833942662100747)	(105, 0.007804885335404676)	(110, 0.008775828008708608)	(115, 0.01015755412071805)	(120, 0.011016464947102294)	(125, 0.012286159212192052)	(130, 0.013294445834469213)	(135, 0.01430273245674637)	(140, 0.015385706976969987)	(145, 0.016020554109514865)	(150, 0.016730089140006198)	(155, 0.017925095507149498)	(160, 0.019642917159917995)	(165, 0.020576515884248695)	(170, 0.021211363016793574)	(175, 0.022817152822642385)	(180, 0.02464700632233056)	(185, 0.026588891668938425)	(190, 0.028829528607332112)	(195, 0.030846101851886427)	(200, 0.03334814643309272)	(205, 0.03543940757559349)	(210, 0.03865098718729111)	(215, 0.04231069418666746)	(220, 0.04660524831858869)	(225, 0.0501902674200186)	(230, 0.054596853398859516)	(235, 0.05859265593899492)	(240, 0.06352205720346103)	(245, 0.07039334381453502)	(250, 0.07816088520096645)	(255, 0.08413591703668295)	(260, 0.09362128007588291)	(265, 0.10284523547227024)	(270, 0.11408576411321192)	(275, 0.12487816536647485)	(280, 0.13977840100679284)	(285, 0.15367035002483373)	(290, 0.1549773882388967)
937Kp_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 5.6757876574321605e-05)	(35, 0.0001702736297229648)	(40, 0.0003689261977330904)	(45, 0.0007946102720405024)	(50, 0.0012486732846350751)	(55, 0.001873009926952613)	(60, 0.002014904618388417)	(65, 0.002582483384131633)	(70, 0.002724378075567437)	(75, 0.003348714717884975)	(80, 0.0037460198539052253)	(85, 0.004029809236776834)	(90, 0.00425684074307412)	(95, 0.005136587829976105)	(100, 0.00706635563350304)	(105, 0.008116376350127987)	(110, 0.008627197239296882)	(115, 0.009393428573050224)	(120, 0.009790733709070475)	(125, 0.010585343981110978)	(130, 0.011493470006300124)	(135, 0.0120894277103305)	(140, 0.013167827365242612)	(145, 0.01458677427960065)	(150, 0.015920584379097207)	(155, 0.01699898403400932)	(160, 0.01878685714610045)	(165, 0.020376077690181453)	(170, 0.021823403542826657)	(175, 0.023497760901769145)	(180, 0.02522887613728595)	(185, 0.027272159693961528)	(190, 0.029428959003785747)	(195, 0.031784410881620095)	(200, 0.035473672858951)	(205, 0.03984402935517377)	(210, 0.04412924903653505)	(215, 0.04929421580479831)	(220, 0.05369295123930823)	(225, 0.05831871818011545)	(230, 0.06345530601009156)	(235, 0.06842162021034469)	(240, 0.07560149159699638)	(245, 0.08105024774813126)	(250, 0.08743550886274244)	(255, 0.09438834874309683)	(260, 0.1007168519811337)	(265, 0.10843592319524142)	(270, 0.11638202591564643)	(275, 0.12611600174814258)	(280, 0.13689999829726368)	(285, 0.14921645751389148)	(290, 0.15012458353908065)
937Kp_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.000141894691435804)	(40, 0.0004824419508817336)	(45, 0.0012486732846350751)	(50, 0.0014189469143580402)	(55, 0.001674357358942487)	(60, 0.0020716624949627385)	(65, 0.002554104445844472)	(70, 0.0029514095818647234)	(75, 0.003121683211587688)	(80, 0.0032351989647363315)	(85, 0.0036892619773309042)	(90, 0.003916293483628191)	(95, 0.004994693138540301)	(100, 0.005533892965996356)	(105, 0.0062149874848882155)	(110, 0.00672580837405711)	(115, 0.007662313337533417)	(120, 0.008769091930732687)	(125, 0.009790733709070477)	(130, 0.0106421018576853)	(135, 0.01132319637657716)	(140, 0.01203266983375618)	(145, 0.01277052222922236)	(150, 0.01345161674811422)	(155, 0.01453001640302633)	(160, 0.015353005613353992)	(165, 0.016800331465999196)	(170, 0.018332794133505876)	(175, 0.020007151492448368)	(180, 0.021795024604539495)	(185, 0.023242350457184695)	(190, 0.025711318088167685)	(195, 0.028435696163735126)	(200, 0.03135872680731268)	(205, 0.03289118947481937)	(210, 0.03666558826701176)	(215, 0.03944672421915352)	(220, 0.04310760725819726)	(225, 0.0472793111864099)	(230, 0.05193345706550427)	(235, 0.0574105921549263)	(240, 0.06453370566500366)	(245, 0.07077707208817904)	(250, 0.07818397498112802)	(255, 0.08479626760203647)	(260, 0.09492754857055288)	(265, 0.1058534398111098)	(270, 0.11902126717635239)	(275, 0.13454454641942937)	(280, 0.1508056780579725)	(285, 0.16613030473303933)	(290, 0.1670100518199413)
953Kp_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 3.594355424241771e-05)	(35, 0.00046726620515143017)	(40, 0.0006829275306059365)	(45, 0.0007907581933331894)	(50, 0.0010064195187876957)	(55, 0.0010783066272725312)	(60, 0.0013658550612118728)	(65, 0.0018690648206057207)	(70, 0.0023363310257571513)	(75, 0.0027676536766661638)	(80, 0.003234919881817594)	(85, 0.003953790966665947)	(90, 0.00424133940060529)	(95, 0.005032097593938479)	(100, 0.005966630004241339)	(105, 0.006649557534847276)	(110, 0.006829275306059364)	(115, 0.007727864162119807)	(120, 0.00880617078939234)	(125, 0.009632872536967946)	(130, 0.01020796940484663)	(135, 0.011322219586361577)	(140, 0.011861372899997844)	(145, 0.012292695550906856)	(150, 0.012975623081512793)	(155, 0.01398204260030049)	(160, 0.015707333203936538)	(165, 0.017181018927875664)	(170, 0.01804366422969369)	(175, 0.018942253085754132)	(180, 0.020056503267269078)	(185, 0.021134809894541615)	(190, 0.02303981826938975)	(195, 0.02634662525969218)	(200, 0.02864701273120691)	(205, 0.02994098068393395)	(210, 0.03242108592666077)	(215, 0.0357278929169632)	(220, 0.038351772376659696)	(225, 0.04072404695665926)	(230, 0.043240095753628506)	(235, 0.04636718497271884)	(240, 0.04999748395120303)	(245, 0.054095049134838646)	(250, 0.05966630004241339)	(255, 0.0641233007684732)	(260, 0.06922728547089649)	(265, 0.0749063670411985)	(270, 0.08216696499816688)	(275, 0.08860086120755964)	(280, 0.09647249958664912)	(285, 0.1043441379657386)	(290, 0.10477546061664762)
953Kp_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.00017971777121208855)	(45, 0.0004672662051514303)	(50, 0.0007188710848483542)	(55, 0.000862645301818025)	(60, 0.0008985888560604427)	(65, 0.0013299115069694552)	(70, 0.0015096292781815437)	(75, 0.0019050083748481383)	(80, 0.0019768954833329737)	(85, 0.0019768954833329737)	(90, 0.002156613254545062)	(95, 0.0025160487969692396)	(100, 0.0025160487969692396)	(105, 0.0026238794596964926)	(110, 0.0030192585563630875)	(115, 0.0035224683157569353)	(120, 0.004277282954847707)	(125, 0.004492944280302213)	(130, 0.004816436268483973)	(135, 0.005750968678786833)	(140, 0.006649557534847276)	(145, 0.006937105968786618)	(150, 0.007548146390907719)	(155, 0.008662396572422668)	(160, 0.010423630730301134)	(165, 0.011214388923634324)	(170, 0.01254430043060378)	(175, 0.013658550612118731)	(180, 0.014772800793633679)	(185, 0.016426204288784895)	(190, 0.01818743844666336)	(195, 0.01973301127908732)	(200, 0.022105285859086887)	(205, 0.024693221764540963)	(210, 0.027532762549691964)	(215, 0.030444190443327794)	(220, 0.03296023924029704)	(225, 0.03454175562696342)	(230, 0.03745318352059925)	(235, 0.04050838563120475)	(240, 0.04550453967090082)	(245, 0.04988965328847578)	(250, 0.05639543660635338)	(255, 0.061786969742716046)	(260, 0.06904756769968443)	(265, 0.07627222210241039)	(270, 0.08619264307331767)	(275, 0.09924015326331528)	(280, 0.11483965580452457)	(285, 0.12835443219967363)	(290, 0.12921707750149167)
954Kp_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011193591295863408)	(35, 0.00018655985493105682)	(40, 0.0003358077388759022)	(45, 0.0007462394197242273)	(50, 0.0007835513907104387)	(55, 0.0011939830715587637)	(60, 0.0017163506653657228)	(65, 0.002425278114103739)	(70, 0.0034327013307314455)	(75, 0.00466399637327642)	(80, 0.00466399637327642)	(85, 0.004887868199193688)	(90, 0.005037116083138534)	(95, 0.006156475212724875)	(100, 0.007835513907104385)	(105, 0.0085444413558424)	(110, 0.008954873036690727)	(115, 0.009290680775566629)	(120, 0.009551864572470108)	(125, 0.010036920195290858)	(130, 0.011417463121780677)	(135, 0.012648758164325652)	(140, 0.013656181380953359)	(145, 0.014738228539553488)	(150, 0.015297908104346659)	(155, 0.016305331320974364)	(160, 0.017126194682671014)	(165, 0.01854404958014705)	(170, 0.019887280535650656)	(175, 0.021267823462140477)	(180, 0.02320804595342347)	(185, 0.02570794800949963)	(190, 0.027983978239658525)	(195, 0.02977495284699666)	(200, 0.03320765417772811)	(205, 0.03596874003070775)	(210, 0.03846864208678391)	(215, 0.040781984287929014)	(220, 0.04477436518345364)	(225, 0.047833946804322965)	(230, 0.05100546433815093)	(235, 0.05380386216211678)	(240, 0.0574977472897517)	(245, 0.06115432044640042)	(250, 0.06596756470362168)	(255, 0.07238522371325004)	(260, 0.08029536156232685)	(265, 0.08753388393365184)	(270, 0.09387691900130779)	(275, 0.10040651392389477)	(280, 0.10921213907664065)	(285, 0.11764464451952443)	(290, 0.11809238817135896)
954Kp_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.00029849576788969093)	(40, 0.00037311970986211363)	(45, 0.0008581753326828614)	(50, 0.0011566711005725522)	(55, 0.0013805429264898204)	(60, 0.0016044147524070886)	(65, 0.001977534462269202)	(70, 0.0027983978239658524)	(75, 0.0037311970986211363)	(80, 0.004290876663414307)	(85, 0.004290876663414307)	(90, 0.004402812576372941)	(95, 0.004813244257221265)	(100, 0.005260987909055802)	(105, 0.005857979444835184)	(110, 0.006977338574421524)	(115, 0.007313146313297427)	(120, 0.007872825878090597)	(125, 0.008842937123732093)	(130, 0.009962296253318433)	(135, 0.010783159615015084)	(140, 0.01152939903473931)	(145, 0.012798006048270496)	(150, 0.013581557438980938)	(155, 0.014290484887718951)	(160, 0.014962100365470757)	(165, 0.01533522007533287)	(170, 0.016379955262946787)	(175, 0.018357489725215993)	(180, 0.019290288999871275)	(185, 0.02052158404241625)	(190, 0.022461806533699242)	(195, 0.024252781141037384)	(200, 0.02630493954527901)	(205, 0.028842153572341385)	(210, 0.0305585042377071)	(215, 0.03324496614871432)	(220, 0.03701347521832167)	(225, 0.04011036881017721)	(230, 0.04443855744457773)	(235, 0.04988610520856459)	(240, 0.05369192624915815)	(245, 0.05843054656440699)	(250, 0.06447508586417323)	(255, 0.07033306530900842)	(260, 0.07581792504398148)	(265, 0.08216096011163741)	(270, 0.09242175213284555)	(275, 0.10253329627010883)	(280, 0.11663722130289671)	(285, 0.12917404355426373)	(290, 0.1300322188869466)
