Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
925Kp_1	(1, 2.5796229974502953)	(2, 0.0010316723408645414)	(3, 0.0004421452889419463)	(4, 0.0)	(5, 0.0)	(6, 5.393730379802803)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 5.895270519225951e-05)	(25, 0.00728065909124405)	(30, 0.09010920988636865)	(35, 0.044591948213056724)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 4.1639999716848e-05)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.6153152410456485)	(290, 0.0)	(295, 0.0)	(300, 0.0)
925Kp_2	(1, 0.00014738176298064877)	(2, 0.00014738176298064877)	(3, 0.00014738176298064877)	(4, 0.00014738176298064877)	(5, 0.00014738176298064877)	(6, 0.00014738176298064877)	(7, 0.00014738176298064877)	(8, 0.00014738176298064877)	(9, 0.00014738176298064877)	(10, 0.00014738176298064877)	(15, 0.00014738176298064877)	(20, 0.00020633446817290828)	(25, 0.007486993559416958)	(30, 0.09040397341232996)	(35, 0.04456237121459944)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.6674444306087892)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 7.483427948807366e-05)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 4.4472115983278487e-05)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.00021090160965381026)	(300, 0.0003464157231168408)
930Kp_1	(1, 2.5858817466511814)	(2, 0.002427356683259828)	(3, 0.0013070382140629843)	(4, 0.0001867197448661406)	(5, 0.0001867197448661406)	(6, 5.463606454528141)	(7, 0.0001867197448661406)	(8, 0.0001867197448661406)	(9, 0.0001867197448661406)	(10, 0.0001867197448661406)	(15, 0.0001867197448661406)	(20, 0.0002614076428125969)	(25, 0.011203184691968437)	(30, 0.11901516537767803)	(35, 0.05597224615799609)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 5.2808236395014064e-05)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.6185422645980212)	(290, 0.0)	(295, 0.0)	(300, 0.0)
930Kp_2	(1, 0.0001867197448661406)	(2, 0.0001867197448661406)	(3, 0.0001867197448661406)	(4, 0.0001867197448661406)	(5, 0.0001867197448661406)	(6, 0.0001867197448661406)	(7, 0.0001867197448661406)	(8, 0.0001867197448661406)	(9, 0.0001867197448661406)	(10, 0.0001867197448661406)	(15, 0.0001867197448661406)	(20, 0.0002614076428125969)	(25, 0.011091152845048751)	(30, 0.11890313353075835)	(35, 0.05597239294717877)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.6546586138263453)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.00019213698598552825)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.00011167145364964645)	(270, 0.0)	(275, 5.8274277209571193e-05)	(280, 0.0)	(285, 0.0)	(290, 0.00018787598681862077)	(295, 0.0005170941634935398)	(300, 0.0004231013327691982)
937Kp_1	(1, 2.577375175239944)	(2, 0.0029797885201518844)	(3, 0.001986525680101256)	(4, 0.000567578765743216)	(5, 0.000567578765743216)	(6, 5.4090256375328485)	(7, 0.000567578765743216)	(8, 0.000567578765743216)	(9, 0.000567578765743216)	(10, 0.000567578765743216)	(15, 0.000567578765743216)	(20, 0.0008229892103276632)	(25, 0.007974481658692184)	(30, 0.09401942254536373)	(35, 0.046947568670777755)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.6086195210122006)	(290, 0.0)	(295, 0.0)	(300, 0.0)
937Kp_2	(1, 0.000567578765743216)	(2, 0.000567578765743216)	(3, 0.000567578765743216)	(4, 0.000567578765743216)	(5, 0.000567578765743216)	(6, 0.000567578765743216)	(7, 0.000567578765743216)	(8, 0.000567578765743216)	(9, 0.000567578765743216)	(10, 0.000567578765743216)	(15, 0.000567578765743216)	(20, 0.0008229892103276632)	(25, 0.008059618473553666)	(30, 0.09413293829851237)	(35, 0.04689063584328171)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.6580043111352957)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 3.7388404958300707e-05)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 5.6021655731239474e-05)	(300, 0.0)
953Kp_1	(1, 2.566549490679836)	(2, 0.0025160487969692396)	(3, 0.0017971777121208853)	(4, 0.0)	(5, 0.0)	(6, 5.345525386932361)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 7.188710848483541e-05)	(25, 0.009560985428483111)	(30, 0.10100138742119376)	(35, 0.0477175753849392)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0002148018216912894)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.00010445118734887218)	(285, 0.6152271927861095)	(290, 0.0)	(295, 0.0)	(300, 0.00018216893983142088)
953Kp_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00035943554242417704)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 7.188710848483541e-05)	(25, 0.009560985428483111)	(30, 0.10082166964998167)	(35, 0.047753719113705385)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.6611153663343556)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 3.893062251622628e-05)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 8.17448603940838e-05)	(185, 0.0)	(190, 0.0001244786936044092)	(195, 0.0001254386694803954)	(200, 0.0)	(205, 0.0)	(210, 0.00012889183526076752)	(215, 0.0)	(220, 0.00017529105984918832)	(225, 0.0)	(230, 0.0)	(235, 4.5346024173965485e-05)	(240, 0.0)	(245, 4.653145246998256e-05)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.00010408903359577648)	(285, 0.00015918581760489018)	(290, 0.0)	(295, 0.00038930457966784534)	(300, 0.00018196971296097477)
954Kp_1	(1, 2.515199964180508)	(2, 0.002611837969034795)	(3, 0.0014924788394484545)	(4, 0.0)	(5, 0.0)	(6, 5.301471397575841)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 3.7311970986211366e-05)	(25, 0.01126821523783583)	(30, 0.12704726120804968)	(35, 0.06110528680545155)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.606746141676232)	(290, 0.0)	(295, 0.0)	(300, 0.0)
954Kp_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 3.7311970986211366e-05)	(25, 0.011193591295863408)	(30, 0.1271218851500221)	(35, 0.0611050351372673)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.6792777265829462)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
