Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
925Kp_1	(1, 30.196427466065348)	(2, 32.32872617942256)	(3, 32.33886604471563)	(4, 32.622444768684325)	(5, 32.671657013161195)	(6, 31.176762317430843)	(7, 32.754341129828596)	(8, 32.8110315249591)	(9, 32.917472108001355)	(10, 33.01945115031466)	(15, 33.05831601597618)	(20, 33.0699096549793)	(25, 32.96457237181471)	(30, 32.881177875049744)	(35, 32.93821801532883)	(40, 32.88518083515133)	(45, 32.91356867463956)	(50, 32.89902481457605)	(55, 32.8630901433243)	(60, 32.912988495961756)	(65, 32.916000924601796)	(70, 32.88710193431458)	(75, 32.87657247314774)	(80, 32.897076230692335)	(85, 32.9000220335088)	(90, 32.8342443663236)	(95, 32.886289576113015)	(100, 32.878758899391485)	(105, 32.86554927277464)	(110, 32.830070098469214)	(115, 32.83130056154622)	(120, 32.83410613864555)	(125, 32.79687947605832)	(130, 32.78794703368841)	(135, 32.783464015082345)	(140, 32.77617120747445)	(145, 32.75026780474408)	(150, 32.7486009584306)	(155, 32.73700293042576)	(160, 32.724595220255964)	(165, 32.69807284819949)	(170, 32.67928327406277)	(175, 32.66633164781924)	(180, 32.629339108209706)	(185, 32.581297383572405)	(190, 32.49415730941709)	(195, 32.3940080370228)	(200, 32.29023671793724)	(205, 32.1057736867338)	(210, 32.02338087322918)	(215, 32.11024160716478)	(220, 32.11019302920092)	(225, 32.11695095381707)	(230, 32.04125013666517)	(235, 32.00678082735355)	(240, 31.95315225327976)	(245, 31.90038613783769)	(250, 31.80935571225755)	(255, 31.697628957709178)	(260, 31.622900798651365)	(265, 31.478862042217656)	(270, 31.370584553101025)	(275, 31.249815847358725)	(280, 31.080905736924215)	(285, 30.732593361456793)	(290, 30.72715025537545)	(295, 30.503493683690113)	(300, 28.638285171616104)
925Kp_2	(1, 30.437051775213334)	(2, 31.506369839796022)	(3, 31.724486006101603)	(4, 32.03462881902993)	(5, 31.967832456411845)	(6, 32.09108192952204)	(7, 32.07830835212451)	(8, 32.06792235928726)	(9, 32.333455660196606)	(10, 32.402953530530134)	(15, 32.28471474259775)	(20, 32.302069239952246)	(25, 32.063772383605254)	(30, 31.969392050227707)	(35, 31.95595281963706)	(40, 31.95650926110028)	(45, 31.93611038114191)	(50, 31.955649305515113)	(55, 31.89920141124494)	(60, 31.892410361198678)	(65, 31.860443456263113)	(70, 31.869928152601325)	(75, 31.836388004945206)	(80, 31.810741959945034)	(85, 31.83605412102758)	(90, 31.81902669951943)	(95, 31.809508765251298)	(100, 31.779750182385605)	(105, 31.740376623233782)	(110, 31.569478890610856)	(115, 31.760374599371374)	(120, 31.73820573047299)	(125, 31.715710370724956)	(130, 31.688102800092018)	(135, 31.667103033183658)	(140, 31.660779735532383)	(145, 31.6304384110769)	(150, 31.581556506147148)	(155, 31.57155691565091)	(160, 31.5536202732701)	(165, 31.479071777883707)	(170, 31.43077662662003)	(175, 31.40276545374357)	(180, 31.347155878899308)	(185, 31.289883210723723)	(190, 31.22581301899812)	(195, 31.160044492433958)	(200, 31.047220626047714)	(205, 30.984358458223305)	(210, 30.883277385165293)	(215, 30.757224868542544)	(220, 30.6570552144442)	(225, 30.563800313931495)	(230, 30.408617191422934)	(235, 30.248315177608212)	(240, 30.05808578794103)	(245, 29.854261896399635)	(250, 29.65946125433306)	(255, 29.457213971534163)	(260, 29.225426803124588)	(265, 28.96749081916849)	(270, 28.626121948700863)	(275, 28.3197021121067)	(280, 28.00391595467882)	(285, 27.608568989620476)	(290, 27.219109372455982)	(295, 26.788624156127366)	(300, 25.329577100141456)
930Kp_1	(1, 30.22844227185648)	(2, 32.30796247680007)	(3, 32.374819348646845)	(4, 32.62025311728614)	(5, 32.655020333780215)	(6, 31.14314122361183)	(7, 32.74357217278298)	(8, 32.77768213577513)	(9, 32.876834054693944)	(10, 32.985929173466374)	(15, 33.016768926846936)	(20, 33.030461085737976)	(25, 32.92808899809919)	(30, 32.841085812660346)	(35, 32.906912495686434)	(40, 32.85290107015695)	(45, 32.87936315252695)	(50, 32.863068298315525)	(55, 32.83189242889127)	(60, 32.869599635150074)	(65, 32.8807116453383)	(70, 32.85483037434979)	(75, 32.83896194956376)	(80, 32.86292750583662)	(85, 32.86372633529497)	(90, 32.796902684913746)	(95, 32.85273554120622)	(100, 32.84255836592408)	(105, 32.82601866382464)	(110, 32.78514017208163)	(115, 32.78871401782555)	(120, 32.79455939263631)	(125, 32.75547295636882)	(130, 32.74348578440812)	(135, 32.737591456806875)	(140, 32.735325782628415)	(145, 32.70948553283141)	(150, 32.701160416462145)	(155, 32.6967431634807)	(160, 32.678992723870095)	(165, 32.64659690194689)	(170, 32.63208847931114)	(175, 32.616333339907904)	(180, 32.578140341142074)	(185, 32.522389560331)	(190, 32.433059649309065)	(195, 32.325104864489354)	(200, 32.21106336732621)	(205, 32.01821204854638)	(210, 31.9230326201546)	(215, 32.02989483085374)	(220, 32.03204073556519)	(225, 32.035354602631784)	(230, 31.955851836301186)	(235, 31.91304092777462)	(240, 31.866314134112265)	(245, 31.80834225384421)	(250, 31.71680628366645)	(255, 31.599937105180096)	(260, 31.519959797522365)	(265, 31.37201196182064)	(270, 31.251947380166893)	(275, 31.127400430973466)	(280, 30.950829376258618)	(285, 30.59431675006122)	(290, 30.570235042173522)	(295, 30.345058235820375)	(300, 28.477773060464994)
930Kp_2	(1, 30.348816756976785)	(2, 31.308434877754582)	(3, 31.634559584137783)	(4, 31.944630126857394)	(5, 31.838423935977534)	(6, 31.98759994174344)	(7, 31.991718979315188)	(8, 31.988348687920354)	(9, 32.24893102946064)	(10, 32.316596397802684)	(15, 32.19226121345428)	(20, 32.22092232085174)	(25, 31.931266968156812)	(30, 31.828779487715707)	(35, 31.813864309200426)	(40, 31.81699726861397)	(45, 31.791504961537377)	(50, 31.824123539639295)	(55, 31.765912898311434)	(60, 31.751680652495033)	(65, 31.719205048366653)	(70, 31.725633680826746)	(75, 31.69192042295312)	(80, 31.668129486317916)	(85, 31.692100992576933)	(90, 31.672726511244804)	(95, 31.657894845553983)	(100, 31.630147066620992)	(105, 31.582886308116997)	(110, 31.41811819938806)	(115, 31.60055000828485)	(120, 31.5820511951075)	(125, 31.551225584839898)	(130, 31.532898901842042)	(135, 31.501148254368342)	(140, 31.49963047757739)	(145, 31.46617359486563)	(150, 31.41594363723674)	(155, 31.393158915866017)	(160, 31.376898685744038)	(165, 31.291547630826337)	(170, 31.24968059237845)	(175, 31.216671907442976)	(180, 31.16030962076938)	(185, 31.08906692223489)	(190, 31.028310126916487)	(195, 30.960027148054643)	(200, 30.83825593266969)	(205, 30.76829362599426)	(210, 30.655778859477294)	(215, 30.52440021865133)	(220, 30.42015761628674)	(225, 30.317376527034007)	(230, 30.151580610414584)	(235, 29.9850282243472)	(240, 29.772039206099556)	(245, 29.5844849303975)	(250, 29.354011345806953)	(255, 29.15043495092446)	(260, 28.905417976147646)	(265, 28.623332446750936)	(270, 28.278182828916254)	(275, 27.954438828607483)	(280, 27.640928569436472)	(285, 27.23807357641695)	(290, 26.827802304831074)	(295, 26.387719849179767)	(300, 24.95921677277125)
937Kp_1	(1, 30.1552554955814)	(2, 32.25447252067406)	(3, 32.30800371196513)	(4, 32.556279691464184)	(5, 32.615498021988)	(6, 31.09313541861772)	(7, 32.68078093162379)	(8, 32.718143222825745)	(9, 32.81370504066702)	(10, 32.913595781754616)	(15, 32.955856845283705)	(20, 32.96501075561761)	(25, 32.84217450776732)	(30, 32.750838597626384)	(35, 32.81564675513907)	(40, 32.757088265738375)	(45, 32.78001789288884)	(50, 32.767009024852555)	(55, 32.733290073397384)	(60, 32.779541545793585)	(65, 32.7858219353363)	(70, 32.75445766404874)	(75, 32.7490538000679)	(80, 32.76476330534983)	(85, 32.7664425290035)	(90, 32.69671561609529)	(95, 32.7483098827838)	(100, 32.74373515742249)	(105, 32.73025577199527)	(110, 32.68918215003372)	(115, 32.6942343357419)	(120, 32.69588115594628)	(125, 32.65772971297382)	(130, 32.6420662118174)	(135, 32.640018212639475)	(140, 32.635875218822676)	(145, 32.607275192676056)	(150, 32.596638728569346)	(155, 32.59427993103889)	(160, 32.58042853339839)	(165, 32.550865945147706)	(170, 32.52901684321381)	(175, 32.519947305968095)	(180, 32.47106469485367)	(185, 32.41697228800337)	(190, 32.32010592239844)	(195, 32.20820912332461)	(200, 32.09392381536818)	(205, 31.892906683840835)	(210, 31.7988218378345)	(215, 31.903777109929756)	(220, 31.904703575112745)	(225, 31.903910888717842)	(230, 31.81586535210996)	(235, 31.779658550591556)	(240, 31.724302855196434)	(245, 31.66918682711387)	(250, 31.56862364905229)	(255, 31.437587356242393)	(260, 31.347847273604668)	(265, 31.188398328448407)	(270, 31.076705195166795)	(275, 30.940033900361122)	(280, 30.757077774430265)	(285, 30.390409348169346)	(290, 30.354148249456095)	(295, 30.11457638983479)	(300, 28.28392374493086)
937Kp_2	(1, 30.460679562056225)	(2, 31.54298132098282)	(3, 31.74739197557141)	(4, 32.11771725496206)	(5, 31.97071009779382)	(6, 32.11219045673063)	(7, 32.09242594516054)	(8, 32.07174195598994)	(9, 32.332518857804494)	(10, 32.41003337363143)	(15, 32.30131536378961)	(20, 32.31894180614915)	(25, 32.0961577755453)	(30, 32.007046774166085)	(35, 31.985636342381554)	(40, 31.990732745017453)	(45, 31.963708681322423)	(50, 31.996511755347363)	(55, 31.94432534679517)	(60, 31.930294475881404)	(65, 31.901640391009124)	(70, 31.91011628552149)	(75, 31.87723818423408)	(80, 31.84923740433917)	(85, 31.874175701691833)	(90, 31.868099255059747)	(95, 31.854682499060885)	(100, 31.83178152047035)	(105, 31.788393860459337)	(110, 31.61607705226827)	(115, 31.80936435069618)	(120, 31.791556862117467)	(125, 31.761628089085537)	(130, 31.736647458778016)	(135, 31.71521064154785)	(140, 31.712047974171856)	(145, 31.68377968778101)	(150, 31.628186962188785)	(155, 31.616493789638117)	(160, 31.595181881231774)	(165, 31.525857509977055)	(170, 31.48323261196124)	(175, 31.450995280037784)	(180, 31.39209485254895)	(185, 31.321629415296485)	(190, 31.270064131075536)	(195, 31.20544547532291)	(200, 31.09010199518233)	(205, 31.013735407573204)	(210, 30.916243362239594)	(215, 30.790743019943722)	(220, 30.69443704569281)	(225, 30.599173102324706)	(230, 30.445763543932834)	(235, 30.277567324102755)	(240, 30.07999930351901)	(245, 29.882705407738843)	(250, 29.674038775353882)	(255, 29.462923303040355)	(260, 29.211305632287434)	(265, 28.94391240910668)	(270, 28.58837922238923)	(275, 28.265506635565306)	(280, 27.961891377485664)	(285, 27.556770017522172)	(290, 27.145514069527508)	(295, 26.700285306104085)	(300, 25.235248057451926)
953Kp_1	(1, 30.196684925992223)	(2, 32.26075790578476)	(3, 32.33194770931729)	(4, 32.56882292048567)	(5, 32.61860474311142)	(6, 31.14163916984767)	(7, 32.69824667342405)	(8, 32.75732889071003)	(9, 32.84182679520082)	(10, 32.945416837398554)	(15, 32.99120497171242)	(20, 33.00168934704939)	(25, 32.881487272387446)	(30, 32.79553940491851)	(35, 32.8594047791902)	(40, 32.80606716150754)	(45, 32.83446948757154)	(50, 32.817704895426374)	(55, 32.78445846245521)	(60, 32.83332195378813)	(65, 32.838121936363976)	(70, 32.809197740102945)	(75, 32.80261833291142)	(80, 32.81446236153524)	(85, 32.81661930749353)	(90, 32.7476075136163)	(95, 32.806409582380354)	(100, 32.798415751813295)	(105, 32.786982595661115)	(110, 32.74340438587468)	(115, 32.74991469522583)	(120, 32.749571886767626)	(125, 32.710182792812)	(130, 32.69890434851182)	(135, 32.691652793925556)	(140, 32.69189766286786)	(145, 32.65982561153346)	(150, 32.65486641037059)	(155, 32.64359183761171)	(160, 32.63975131959943)	(165, 32.60890111573787)	(170, 32.584884076136035)	(175, 32.574582611161354)	(180, 32.52900071894178)	(185, 32.479090322737015)	(190, 32.38642309988364)	(195, 32.270675221526815)	(200, 32.15207266397704)	(205, 31.96194633400941)	(210, 31.870483600039886)	(215, 31.981659064939215)	(220, 31.9735468725474)	(225, 31.975879609202984)	(230, 31.89565323996978)	(235, 31.862821334623582)	(240, 31.8173494126491)	(245, 31.759003716540093)	(250, 31.66750604492078)	(255, 31.550910831854377)	(260, 31.470393556098326)	(265, 31.3162154167851)	(270, 31.213366852732797)	(275, 31.077485932396588)	(280, 30.90633867354088)	(285, 30.555947998212282)	(290, 30.525835446696)	(295, 30.29826161819185)	(300, 28.47142498240133)
953Kp_2	(1, 30.155623009625685)	(2, 31.21243359428354)	(3, 31.504697822539484)	(4, 31.85778573328445)	(5, 31.802049860898446)	(6, 31.898225826162594)	(7, 31.924696456684423)	(8, 31.925916740350953)	(9, 32.18818247823618)	(10, 32.255581674538305)	(15, 32.129062520218255)	(20, 32.152404264343275)	(25, 31.846029674998384)	(30, 31.731102316921504)	(35, 31.708995962632805)	(40, 31.717958702944145)	(45, 31.699540028420518)	(50, 31.730455737689578)	(55, 31.671017623568833)	(60, 31.66515838233598)	(65, 31.641508543235393)	(70, 31.64604504863352)	(75, 31.610593176446066)	(80, 31.589688639866143)	(85, 31.614752072807413)	(90, 31.599781037162252)	(95, 31.586766380711488)	(100, 31.560966113539724)	(105, 31.52429496476277)	(110, 31.351908085955813)	(115, 31.538238676297244)	(120, 31.519257991291937)	(125, 31.48769157312889)	(130, 31.472444307754518)	(135, 31.443717919197262)	(140, 31.428030773230226)	(145, 31.3878666361421)	(150, 31.34734153816915)	(155, 31.32966819156502)	(160, 31.302723514903807)	(165, 31.228733829935358)	(170, 31.173243861443915)	(175, 31.145335471026726)	(180, 31.083256282924783)	(185, 31.003137836468873)	(190, 30.942758437110523)	(195, 30.87294170173419)	(200, 30.748909298468153)	(205, 30.682912822662598)	(210, 30.568597451952098)	(215, 30.441654065071106)	(220, 30.332684741056077)	(225, 30.231942922072545)	(230, 30.068090157877748)	(235, 29.893816257646893)	(240, 29.684095791748017)	(245, 29.486664575217162)	(250, 29.264111118342377)	(255, 29.057337762871363)	(260, 28.792115682595277)	(265, 28.52624961512702)	(270, 28.171769376027406)	(275, 27.85475325580353)	(280, 27.52339382811477)	(285, 27.12907419543951)	(290, 26.725566459758898)	(295, 26.30247887950555)	(300, 24.8367131557914)
954Kp_1	(1, 30.11034642299462)	(2, 32.16040789446682)	(3, 32.26024540083318)	(4, 32.48612647638805)	(5, 32.55655468722308)	(6, 31.081869926737944)	(7, 32.61699448342509)	(8, 32.66957451293886)	(9, 32.753964863316924)	(10, 32.85435831805097)	(15, 32.90432949455338)	(20, 32.92230416345628)	(25, 32.78394577824376)	(30, 32.68150315006316)	(35, 32.75125050738023)	(40, 32.7017626779988)	(45, 32.72495383950856)	(50, 32.71052777899374)	(55, 32.677312554821576)	(60, 32.72982350573988)	(65, 32.733862872644195)	(70, 32.702941963870046)	(75, 32.6964509041365)	(80, 32.71178768380388)	(85, 32.71967425572143)	(90, 32.637873792095036)	(95, 32.69694659432486)	(100, 32.684372929086614)	(105, 32.67615782695535)	(110, 32.628470084009095)	(115, 32.63918965480643)	(120, 32.63445462721599)	(125, 32.59842650382085)	(130, 32.583522781610235)	(135, 32.57170719608056)	(140, 32.576750049768314)	(145, 32.53765362670186)	(150, 32.53378086017281)	(155, 32.53003363254001)	(160, 32.511983762406835)	(165, 32.48441605525191)	(170, 32.46723400542054)	(175, 32.44355481271005)	(180, 32.40527112441926)	(185, 32.35471787825854)	(190, 32.24538374354788)	(195, 32.12453209555569)	(200, 31.996524409211254)	(205, 31.78868472622341)	(210, 31.69230973343117)	(215, 31.792185597977344)	(220, 31.806539232546037)	(225, 31.807088268691295)	(230, 31.728042998771578)	(235, 31.68354889819314)	(240, 31.627189177627322)	(245, 31.56586557255732)	(250, 31.46774190093596)	(255, 31.34422456404742)	(260, 31.252461220048765)	(265, 31.0974595715982)	(270, 30.96803325123228)	(275, 30.84690831390024)	(280, 30.659401871961677)	(285, 30.289661437724398)	(290, 30.25769261015253)	(295, 30.012545506009086)	(300, 28.174818513441945)
954Kp_2	(1, 30.21342260844258)	(2, 31.26971144787238)	(3, 31.555642409532464)	(4, 31.86994912512756)	(5, 31.824510606860553)	(6, 31.949084084392215)	(7, 31.957835607187032)	(8, 31.930125871934123)	(9, 32.19935412978223)	(10, 32.28200947350943)	(15, 32.18152236572821)	(20, 32.202713326530116)	(25, 31.922322446322067)	(30, 31.804659518936763)	(35, 31.80312981360988)	(40, 31.80368786495678)	(45, 31.782244315926658)	(50, 31.81147709452394)	(55, 31.76007755794119)	(60, 31.746990412615343)	(65, 31.717754484525255)	(70, 31.72478330502572)	(75, 31.69126904113918)	(80, 31.65521768603504)	(85, 31.68360563315526)	(90, 31.66712179023607)	(95, 31.655758656775287)	(100, 31.62700959773427)	(105, 31.58729210579201)	(110, 31.40399340612613)	(115, 31.597930648608166)	(120, 31.57083427770572)	(125, 31.53964858574019)	(130, 31.5193139745842)	(135, 31.49326194203619)	(140, 31.485714792173543)	(145, 31.447953460543925)	(150, 31.404819439911222)	(155, 31.381978357009757)	(160, 31.371803111300842)	(165, 31.292381977193873)	(170, 31.240815432242364)	(175, 31.201589510770646)	(180, 31.14592968893241)	(185, 31.08086370496262)	(190, 31.01604982106479)	(195, 30.934137702550203)	(200, 30.818560151217117)	(205, 30.74936079402027)	(210, 30.6416997250314)	(215, 30.508024395543714)	(220, 30.405376653341307)	(225, 30.308696829462356)	(230, 30.13800650059892)	(235, 29.97095427435474)	(240, 29.769941730981476)	(245, 29.562293455351284)	(250, 29.346388391209995)	(255, 29.143242311225066)	(260, 28.885022822738573)	(265, 28.635405095332533)	(270, 28.278413986101548)	(275, 27.979124270038074)	(280, 27.64348810002075)	(285, 27.255139363040275)	(290, 26.849156945926048)	(295, 26.418238824104343)	(300, 24.98831415219486)
