Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
925Kp_1	(15.0, 45.0)	(16.0, 240.0)	(17.0, 825.0)	(18.0, 1439.0)	(19.0, 1778.0)	(20.0, 2005.0)	(21.0, 2467.0)	(22.0, 2716.0)	(23.0, 3050.0)	(24.0, 3642.0)	(25.0, 4282.0)	(26.0, 5274.0)	(27.0, 6887.0)	(28.0, 9243.0)	(29.0, 13995.0)	(30.0, 22297.0)	(31.0, 40530.0)	(32.0, 111602.0)	(33.0, 434491.0)	(34.0, 11702.0)													
925Kp_2	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 3.0)	(14.0, 80.0)	(15.0, 367.0)	(16.0, 1381.0)	(17.0, 3229.0)	(18.0, 4367.0)	(19.0, 4426.0)	(20.0, 4434.0)	(21.0, 4762.0)	(22.0, 5415.0)	(23.0, 5992.0)	(24.0, 7160.0)	(25.0, 8536.0)	(26.0, 10958.0)	(27.0, 14249.0)	(28.0, 20196.0)	(29.0, 30846.0)	(30.0, 50888.0)	(31.0, 90730.0)	(32.0, 173648.0)	(33.0, 230048.0)	(34.0, 6793.0)
930Kp_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 21.0)	(16.0, 185.0)	(17.0, 608.0)	(18.0, 1089.0)	(19.0, 1425.0)	(20.0, 1530.0)	(21.0, 1792.0)	(22.0, 2148.0)	(23.0, 2406.0)	(24.0, 2836.0)	(25.0, 3489.0)	(26.0, 4445.0)	(27.0, 5624.0)	(28.0, 7684.0)	(29.0, 11742.0)	(30.0, 18856.0)	(31.0, 34468.0)	(32.0, 97432.0)	(33.0, 328401.0)	(34.0, 9380.0)
930Kp_2	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 3.0)	(14.0, 55.0)	(15.0, 314.0)	(16.0, 1053.0)	(17.0, 2744.0)	(18.0, 3601.0)	(19.0, 3716.0)	(20.0, 3797.0)	(21.0, 4044.0)	(22.0, 4443.0)	(23.0, 5190.0)	(24.0, 6064.0)	(25.0, 7440.0)	(26.0, 9596.0)	(27.0, 12845.0)	(28.0, 18167.0)	(29.0, 27297.0)	(30.0, 43791.0)	(31.0, 75397.0)	(32.0, 133754.0)	(33.0, 166265.0)	(34.0, 5984.0)
937Kp_1	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 6.0)	(15.0, 124.0)	(16.0, 533.0)	(17.0, 1141.0)	(18.0, 1860.0)	(19.0, 2150.0)	(20.0, 2357.0)	(21.0, 2829.0)	(22.0, 3123.0)	(23.0, 3436.0)	(24.0, 4044.0)	(25.0, 4938.0)	(26.0, 5884.0)	(27.0, 7913.0)	(28.0, 10495.0)	(29.0, 15867.0)	(30.0, 25467.0)	(31.0, 46497.0)	(32.0, 128856.0)	(33.0, 425144.0)	(34.0, 12080.0)
937Kp_2	(2.0, 4.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 10.0)	(14.0, 197.0)	(15.0, 576.0)	(16.0, 1310.0)	(17.0, 2898.0)	(18.0, 4094.0)	(19.0, 4156.0)	(20.0, 4143.0)	(21.0, 4500.0)	(22.0, 5120.0)	(23.0, 5920.0)	(24.0, 6861.0)	(25.0, 8498.0)	(26.0, 10886.0)	(27.0, 14524.0)	(28.0, 20709.0)	(29.0, 31491.0)	(30.0, 52652.0)	(31.0, 94091.0)	(32.0, 180136.0)	(33.0, 243644.0)	(34.0, 8328.0)
953Kp_1	(15.0, 36.0)	(16.0, 217.0)	(17.0, 684.0)	(18.0, 1297.0)	(19.0, 1527.0)	(20.0, 1789.0)	(21.0, 2146.0)	(22.0, 2419.0)	(23.0, 2824.0)	(24.0, 3087.0)	(25.0, 3732.0)	(26.0, 4625.0)	(27.0, 6092.0)	(28.0, 8523.0)	(29.0, 12561.0)	(30.0, 20102.0)	(31.0, 37472.0)	(32.0, 106306.0)	(33.0, 333344.0)	(34.0, 7645.0)													
953Kp_2	(13.0, 5.0)	(14.0, 84.0)	(15.0, 399.0)	(16.0, 1309.0)	(17.0, 3122.0)	(18.0, 4006.0)	(19.0, 4073.0)	(20.0, 4278.0)	(21.0, 4644.0)	(22.0, 4974.0)	(23.0, 5804.0)	(24.0, 6813.0)	(25.0, 8514.0)	(26.0, 10555.0)	(27.0, 14267.0)	(28.0, 20133.0)	(29.0, 30364.0)	(30.0, 47562.0)	(31.0, 81098.0)	(32.0, 137960.0)	(33.0, 161021.0)	(34.0, 5443.0)											
954Kp_1	(14.0, 2.0)	(15.0, 28.0)	(16.0, 284.0)	(17.0, 839.0)	(18.0, 1366.0)	(19.0, 1704.0)	(20.0, 1901.0)	(21.0, 2291.0)	(22.0, 2524.0)	(23.0, 2870.0)	(24.0, 3322.0)	(25.0, 4026.0)	(26.0, 4907.0)	(27.0, 6408.0)	(28.0, 8800.0)	(29.0, 13282.0)	(30.0, 21108.0)	(31.0, 39648.0)	(32.0, 110755.0)	(33.0, 302470.0)	(34.0, 7486.0)												
954Kp_2	(12.0, 2.0)	(13.0, 3.0)	(14.0, 59.0)	(15.0, 338.0)	(16.0, 1200.0)	(17.0, 2793.0)	(18.0, 3575.0)	(19.0, 3625.0)	(20.0, 3829.0)	(21.0, 4120.0)	(22.0, 4559.0)	(23.0, 5301.0)	(24.0, 6266.0)	(25.0, 7737.0)	(26.0, 9545.0)	(27.0, 13277.0)	(28.0, 18301.0)	(29.0, 27961.0)	(30.0, 45074.0)	(31.0, 76507.0)	(32.0, 132798.0)	(33.0, 162922.0)	(34.0, 6229.0)										
