Sample	Unique Reads	Duplicate Reads
925Kp_1	543410.0	135100.0
925Kp_2	559467.0	119043.0
930Kp_1	447377.0	88185.0
930Kp_2	460070.0	75492.0
937Kp_1	566093.0	138655.0
937Kp_2	580187.0	124561.0
953Kp_1	460517.0	95911.0
953Kp_2	473711.0	82717.0
954Kp_1	449446.0	86575.0
954Kp_2	460695.0	75326.0
959Kp_1	461031.0	104457.0
959Kp_2	473750.0	91738.0
964Kp_1	466394.0	93306.0
964Kp_2	481022.0	78678.0
965Kp_1	491389.0	98925.0
965Kp_2	508010.0	82304.0
966Kp_1	535854.0	119609.0
966Kp_2	555755.0	99708.0
967Kp_1	534161.0	118606.0
967Kp_2	552606.0	100161.0
975Kp_1	546791.0	137623.0
975Kp_2	565190.0	119224.0
AMB201Kp_1	491739.0	125796.0
AMB201Kp_2	513227.0	104308.0
