Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
925Kp_1	(1.0, 66.6452640870217)	(2.0, 20.01221082846203)	(3.0, 6.844469704834904)	(4.0, 2.548224444992026)	(5.0, 1.105235279770868)	(6.0, 0.5610183615914588)	(7.0, 0.3772778984628392)	(8.0, 0.27528169692070037)	(9.0, 0.22620652647788486)	('>10', 1.3812319561892477)	('>50', 0.023579215276321504)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
925Kp_2	(1.0, 70.78751108651201)	(2.0, 17.292812315514762)	(3.0, 5.9224498796301095)	(4.0, 2.271059326741375)	(5.0, 1.0287477207954536)	(6.0, 0.4984972736933654)	(7.0, 0.32242064147291055)	(8.0, 0.25744220366114134)	(9.0, 0.17067721107876044)	('>10', 1.3917397489450365)	('>50', 0.021029905414197893)	('>100', 0.03561268654083147)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
930Kp_1	(1.0, 71.67014050358671)	(2.0, 18.534487905292178)	(3.0, 5.2669695298622505)	(4.0, 1.9133216618566737)	(5.0, 0.7666600809008728)	(6.0, 0.40509582565099395)	(7.0, 0.2861532621497529)	(8.0, 0.20116878723592677)	(9.0, 0.14726011156490662)	('>10', 0.7979699123357624)	('>50', 0.010772419563977141)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
930Kp_2	(1.0, 75.87948490142007)	(2.0, 15.579524714354994)	(3.0, 4.572563645136713)	(4.0, 1.5159196589192145)	(5.0, 0.6893009847894734)	(6.0, 0.38948416045402123)	(7.0, 0.25735375055727017)	(8.0, 0.2072142016861094)	(9.0, 0.13408005769121242)	('>10', 0.715884244741011)	('>50', 0.009832813331422094)	('>100', 0.04935686691851091)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
937Kp_1	(1.0, 67.07751803219121)	(2.0, 19.696370616563723)	(3.0, 6.69867501496)	(4.0, 2.603259096283784)	(5.0, 1.075739889853039)	(6.0, 0.5670411818039341)	(7.0, 0.38593823743929984)	(8.0, 0.29569140507415864)	(9.0, 0.1973269896800513)	('>10', 1.381014019107334)	('>50', 0.02142551704342864)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
937Kp_2	(1.0, 70.55132857914369)	(2.0, 17.49966161748726)	(3.0, 5.941371889225002)	(4.0, 2.2517635648598784)	(5.0, 0.9924372138051619)	(6.0, 0.522319933639292)	(7.0, 0.3695566746284546)	(8.0, 0.2591001813558519)	(9.0, 0.1859585866444081)	('>10', 1.3491424632041311)	('>50', 0.020668514200297118)	('>100', 0.056690781806529235)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
953Kp_1	(1.0, 70.74971761100103)	(2.0, 18.32936302205169)	(3.0, 5.745589294621046)	(4.0, 2.015388354051386)	(5.0, 0.8720454919469649)	(6.0, 0.4956303785313086)	(7.0, 0.34849917080268655)	(8.0, 0.27439865712093164)	(9.0, 0.17676506689270785)	('>10', 0.9713280674213086)	('>50', 0.02127488555897724)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
953Kp_2	(1.0, 74.8305914935603)	(2.0, 15.845622020954394)	(3.0, 4.749648764972743)	(4.0, 1.6611860207400655)	(5.0, 0.7636678125620042)	(6.0, 0.44944465872253775)	(7.0, 0.31008632425065963)	(8.0, 0.20223160667871448)	(9.0, 0.1539810090105692)	('>10', 0.9666427296090616)	('>50', 0.02205210391616264)	('>100', 0.044845455022784524)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
954Kp_1	(1.0, 72.22979694252271)	(2.0, 18.107159572849174)	(3.0, 5.212092290668132)	(4.0, 1.8156332361479792)	(5.0, 0.8738736924554652)	(6.0, 0.3923118722910024)	(7.0, 0.2568164228436949)	(8.0, 0.19538125293084557)	(9.0, 0.1632007579987599)	('>10', 0.7435732798180714)	('>50', 0.010160679474163202)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
954Kp_2	(1.0, 75.97219558116038)	(2.0, 15.47694290461944)	(3.0, 4.535023973616504)	(4.0, 1.607176525139418)	(5.0, 0.6686016577054674)	(6.0, 0.3483793943832289)	(7.0, 0.2688906535827058)	(8.0, 0.1810132782513713)	(9.0, 0.15381191183831447)	('>10', 0.7151039254246258)	('>50', 0.0240304070839529)	('>100', 0.0488297871945923)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
959Kp_1	(1.0, 69.5223774510802)	(2.0, 18.241139407941606)	(3.0, 5.506354935684316)	(4.0, 2.0449460337927152)	(5.0, 0.9108390292914194)	(6.0, 0.5674551128738687)	(7.0, 0.41888454491529487)	(8.0, 0.29085677076162003)	(9.0, 0.2522252171272748)	('>10', 2.2155656766566634)	('>50', 0.029355819875082723)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
959Kp_2	(1.0, 73.47530681468972)	(2.0, 15.576008037691896)	(3.0, 4.684703729192254)	(4.0, 1.7681971483965262)	(5.0, 0.8874848222526823)	(6.0, 0.49816641829114033)	(7.0, 0.3651952692619439)	(8.0, 0.29209688697209985)	(9.0, 0.2729266806959572)	('>10', 2.077614308769694)	('>50', 0.05014700185592766)	('>100', 0.05215288193016476)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
964Kp_1	(1.0, 71.24610460791254)	(2.0, 18.79577891372908)	(3.0, 5.542519565888558)	(4.0, 1.9500079261365126)	(5.0, 0.7830351641597476)	(6.0, 0.42274566520428875)	(7.0, 0.2541289542759892)	(8.0, 0.19568950726922257)	(9.0, 0.11350724601275095)	('>10', 0.6964824494113713)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
964Kp_2	(1.0, 75.77156736164036)	(2.0, 15.857971033944743)	(3.0, 4.649121913433827)	(4.0, 1.5753014996439714)	(5.0, 0.6678477753298692)	(6.0, 0.34006413358850707)	(7.0, 0.2112219438632934)	(8.0, 0.19077115351958499)	(9.0, 0.13782419707182506)	('>10', 0.5502183769307607)	('>50', 0.0)	('>100', 0.04809061103324868)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
965Kp_1	(1.0, 71.01043235128331)	(2.0, 18.924998130767822)	(3.0, 5.794869577021838)	(4.0, 1.9663575756995788)	(5.0, 0.8357434895171252)	(6.0, 0.3925938245734477)	(7.0, 0.2819740201964123)	(8.0, 0.18661987228193092)	(9.0, 0.10048135853996658)	('>10', 0.5059298001185791)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
965Kp_2	(1.0, 75.9135277331838)	(2.0, 15.741947204265827)	(3.0, 4.684968249582566)	(4.0, 1.7099893908602424)	(5.0, 0.6522357254994126)	(6.0, 0.3508743676169385)	(7.0, 0.2076269439140885)	(8.0, 0.15920258804087722)	(9.0, 0.12040830644680224)	('>10', 0.41376573320304216)	('>50', 0.0)	('>100', 0.045453757386393505)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
966Kp_1	(1.0, 68.28351820543004)	(2.0, 20.544504879037817)	(3.0, 6.801675994865149)	(4.0, 2.399410611861728)	(5.0, 0.9389176308333904)	(6.0, 0.42150062626132717)	(7.0, 0.23555937775792163)	(8.0, 0.12400524427491617)	(9.0, 0.07361574363390931)	('>10', 0.17729168604382478)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
966Kp_2	(1.0, 73.65015187967758)	(2.0, 16.929246794836093)	(3.0, 5.684960548693602)	(4.0, 1.9800152444464085)	(5.0, 0.8161144555604669)	(6.0, 0.3395101717397982)	(7.0, 0.2019665668574478)	(8.0, 0.10832348233650402)	(9.0, 0.0802492909178511)	('>10', 0.1539098462617428)	('>50', 0.0)	('>100', 0.0555517186725066)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
967Kp_1	(1.0, 69.01713015667244)	(2.0, 19.407915566802856)	(3.0, 6.284650366976333)	(4.0, 2.352016005040759)	(5.0, 1.0300614580727139)	(6.0, 0.4529559279598021)	(7.0, 0.32777319260925253)	(8.0, 0.22357931439308437)	(9.0, 0.1376421076200552)	('>10', 0.7577601308090596)	('>50', 0.008515773043681025)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
967Kp_2	(1.0, 73.87798712132663)	(2.0, 16.460413365160647)	(3.0, 5.108712883655827)	(4.0, 1.9033029192815865)	(5.0, 0.8630479898313309)	(6.0, 0.4105254942234927)	(7.0, 0.2695467840594695)	(8.0, 0.18446599047267645)	(9.0, 0.13872018908858608)	('>10', 0.7134286710271955)	('>50', 0.0204319010239426)	('>100', 0.049416690848605366)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
975Kp_1	(1.0, 66.7735038775381)	(2.0, 19.47166720519551)	(3.0, 6.518102095216044)	(4.0, 2.5325249390626485)	(5.0, 1.1480121840131605)	(6.0, 0.6206363786982539)	(7.0, 0.3972282799923812)	(8.0, 0.3267586730404361)	(9.0, 0.2225844285381264)	('>10', 1.93761070377549)	('>50', 0.05137123492983976)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
975Kp_2	(1.0, 71.35172830472402)	(2.0, 16.741976326815937)	(3.0, 5.489767557221935)	(4.0, 2.0654087403221713)	(5.0, 0.9363939749329855)	(6.0, 0.5416466391889125)	(7.0, 0.36538653499119855)	(8.0, 0.2683603286213378)	(9.0, 0.2607790902723363)	('>10', 1.870701676102725)	('>50', 0.0584696898136019)	('>100', 0.049381136992834765)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
AMB201Kp_1	(1.0, 67.29889669124138)	(2.0, 18.365456998584552)	(3.0, 5.870877757492918)	(4.0, 2.140443770331279)	(5.0, 1.0053958047929668)	(6.0, 0.6664395364996618)	(7.0, 0.4595632722925661)	(8.0, 0.3733853227540612)	(9.0, 0.27526843826901776)	('>10', 3.409028594590439)	('>50', 0.09403804959938063)	('>100', 0.0412057635517286)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
AMB201Kp_2	(1.0, 73.05364410772722)	(2.0, 15.02273172320076)	(3.0, 4.592534872730256)	(4.0, 1.7460265462829538)	(5.0, 0.9140194885343493)	(6.0, 0.5716062055335054)	(7.0, 0.40387674557876285)	(8.0, 0.2861270643305312)	(9.0, 0.3055739340088415)	('>10', 2.8964772052976264)	('>50', 0.11380113997898243)	('>100', 0.09358096679622636)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
