Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
925Kp_1	(30, 2536.0)	(40, 3361.0)	(50, 3553.0)	(60, 3936.0)	(70, 4625.0)	(80, 4847.0)	(90, 5196.0)	(100, 5534.0)	(110, 6064.0)	(120, 6557.0)	(130, 7215.0)	(140, 7768.0)	(150, 8456.0)	(160, 9137.0)	(170, 9912.0)	(180, 11159.0)	(190, 12193.0)	(200, 13641.0)	(210, 14966.0)	(220, 16323.0)	(230, 17808.0)	(240, 19180.0)	(250, 20730.0)	(260, 21436.0)	(270, 22787.0)	(280, 23909.0)	(290, 54645.0)	(300, 341036.0)
925Kp_2	(30, 2535.0)	(40, 3362.0)	(50, 3549.0)	(60, 3933.0)	(70, 4622.0)	(80, 4836.0)	(90, 5206.0)	(100, 5533.0)	(110, 6082.0)	(120, 6586.0)	(130, 7220.0)	(140, 7751.0)	(150, 8475.0)	(160, 9137.0)	(170, 9906.0)	(180, 11149.0)	(190, 12203.0)	(200, 13631.0)	(210, 14964.0)	(220, 16236.0)	(230, 17690.0)	(240, 19005.0)	(250, 20397.0)	(260, 21020.0)	(270, 22196.0)	(280, 23112.0)	(290, 53230.0)	(300, 344944.0)
930Kp_1	(30, 2538.0)	(40, 3435.0)	(50, 3593.0)	(60, 4038.0)	(70, 4394.0)	(80, 4704.0)	(90, 4984.0)	(100, 5235.0)	(110, 5456.0)	(120, 5881.0)	(130, 6205.0)	(140, 6413.0)	(150, 6914.0)	(160, 7516.0)	(170, 7923.0)	(180, 8465.0)	(190, 8768.0)	(200, 9891.0)	(210, 10527.0)	(220, 11456.0)	(230, 12381.0)	(240, 13307.0)	(250, 13862.0)	(260, 14675.0)	(270, 15704.0)	(280, 16694.0)	(290, 41461.0)	(300, 279142.0)
930Kp_2	(30, 2541.0)	(40, 3426.0)	(50, 3589.0)	(60, 4032.0)	(70, 4391.0)	(80, 4703.0)	(90, 4992.0)	(100, 5240.0)	(110, 5470.0)	(120, 5880.0)	(130, 6193.0)	(140, 6422.0)	(150, 6907.0)	(160, 7493.0)	(170, 7928.0)	(180, 8461.0)	(190, 8764.0)	(200, 9884.0)	(210, 10504.0)	(220, 11403.0)	(230, 12297.0)	(240, 13124.0)	(250, 13624.0)	(260, 14374.0)	(270, 15207.0)	(280, 16035.0)	(290, 40328.0)	(300, 282350.0)
937Kp_1	(30, 2685.0)	(40, 3884.0)	(50, 4129.0)	(60, 4683.0)	(70, 4971.0)	(80, 5475.0)	(90, 5860.0)	(100, 6775.0)	(110, 7087.0)	(120, 7495.0)	(130, 8393.0)	(140, 9157.0)	(150, 10160.0)	(160, 11007.0)	(170, 12196.0)	(180, 13299.0)	(190, 14597.0)	(200, 16166.0)	(210, 17510.0)	(220, 19458.0)	(230, 21132.0)	(240, 22990.0)	(250, 23919.0)	(260, 24922.0)	(270, 25960.0)	(280, 26275.0)	(290, 54027.0)	(300, 320536.0)
937Kp_2	(30, 2682.0)	(40, 3877.0)	(50, 4132.0)	(60, 4680.0)	(70, 4969.0)	(80, 5476.0)	(90, 5881.0)	(100, 6792.0)	(110, 7103.0)	(120, 7501.0)	(130, 8404.0)	(140, 9197.0)	(150, 10167.0)	(160, 11016.0)	(170, 12196.0)	(180, 13338.0)	(190, 14637.0)	(200, 16212.0)	(210, 17531.0)	(220, 19444.0)	(230, 21037.0)	(240, 22814.0)	(250, 23631.0)	(260, 24491.0)	(270, 25329.0)	(280, 25531.0)	(290, 53494.0)	(300, 323186.0)
953Kp_1	(30, 2186.0)	(40, 2905.0)	(50, 3008.0)	(60, 3272.0)	(70, 3568.0)	(80, 3767.0)	(90, 4131.0)	(100, 4464.0)	(110, 4558.0)	(120, 4770.0)	(130, 5145.0)	(140, 5437.0)	(150, 5799.0)	(160, 6194.0)	(170, 6545.0)	(180, 7086.0)	(190, 7865.0)	(200, 8317.0)	(210, 9002.0)	(220, 9852.0)	(230, 10818.0)	(240, 11587.0)	(250, 12369.0)	(260, 13282.0)	(270, 14486.0)	(280, 15351.0)	(290, 44698.0)	(300, 325966.0)
953Kp_2	(30, 2186.0)	(40, 2902.0)	(50, 2997.0)	(60, 3268.0)	(70, 3571.0)	(80, 3767.0)	(90, 4135.0)	(100, 4464.0)	(110, 4562.0)	(120, 4789.0)	(130, 5170.0)	(140, 5436.0)	(150, 5809.0)	(160, 6184.0)	(170, 6547.0)	(180, 7088.0)	(190, 7893.0)	(200, 8287.0)	(210, 8982.0)	(220, 9802.0)	(230, 10762.0)	(240, 11434.0)	(250, 12138.0)	(260, 13012.0)	(270, 14016.0)	(280, 14759.0)	(290, 43783.0)	(300, 328685.0)
954Kp_1	(30, 2734.0)	(40, 3478.0)	(50, 3728.0)	(60, 4029.0)	(70, 4426.0)	(80, 4686.0)	(90, 4918.0)	(100, 5216.0)	(110, 5360.0)	(120, 5575.0)	(130, 5817.0)	(140, 6086.0)	(150, 6532.0)	(160, 6788.0)	(170, 7060.0)	(180, 7423.0)	(190, 7949.0)	(200, 8591.0)	(210, 8985.0)	(220, 9709.0)	(230, 10575.0)	(240, 11156.0)	(250, 11838.0)	(260, 12441.0)	(270, 13578.0)	(280, 14355.0)	(290, 41253.0)	(300, 301735.0)
954Kp_2	(30, 2732.0)	(40, 3473.0)	(50, 3720.0)	(60, 4024.0)	(70, 4428.0)	(80, 4681.0)	(90, 4932.0)	(100, 5220.0)	(110, 5368.0)	(120, 5589.0)	(130, 5835.0)	(140, 6083.0)	(150, 6554.0)	(160, 6801.0)	(170, 7082.0)	(180, 7460.0)	(190, 7980.0)	(200, 8610.0)	(210, 8961.0)	(220, 9691.0)	(230, 10526.0)	(240, 11070.0)	(250, 11779.0)	(260, 12273.0)	(270, 13234.0)	(280, 13912.0)	(290, 40449.0)	(300, 303554.0)
