Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
925Kp_1	925Kp_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	678510.0	0.0	35-301	56.0	80.08868949495978	259.92016182517574	301	pass	pass	fail	pass	fail	fail	warn	warn	pass	pass	pass
925Kp_2	925Kp_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	678510.0	0.0	35-301	56.0	82.45509058463838	260.05064184757777	301	pass	pass	warn	pass	fail	warn	pass	warn	pass	pass	pass
930Kp_1	930Kp_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	535562.0	0.0	35-301	56.0	83.53398521796409	258.0899914482357	301	pass	pass	fail	pass	fail	fail	warn	warn	pass	pass	pass
930Kp_2	930Kp_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	535562.0	0.0	35-301	56.0	85.90397399756	258.24097676832935	301	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
937Kp_1	937Kp_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	704748.0	0.0	35-301	55.0	80.32555100721808	254.79284793997286	294	pass	pass	fail	pass	fail	fail	warn	warn	pass	pass	pass
937Kp_2	937Kp_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	704748.0	0.0	35-301	56.0	82.32531827793966	254.85612587761867	294	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
953Kp_1	953Kp_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	556428.0	0.0	35-301	55.0	82.76302677570354	265.99237457496747	301	pass	pass	fail	pass	fail	warn	warn	warn	pass	pass	pass
953Kp_2	953Kp_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	556428.0	0.0	35-301	55.0	85.13423723692618	266.1017031853178	301	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
954Kp_1	954Kp_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	536021.0	0.0	35-301	56.0	83.84843830506942	260.89987519145706	301	pass	pass	fail	pass	fail	fail	warn	warn	pass	pass	pass
954Kp_2	954Kp_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	536021.0	0.0	35-301	56.0	85.94718355792617	260.937753371603	301	pass	pass	warn	pass	fail	fail	pass	warn	pass	pass	pass
