Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
925Kp_1	19.91131050504022	56.0	259.92016182517574	301	27.27272727272727	0.67851
925Kp_2	17.544909415361616	56.0	260.05064184757777	301	9.090909090909092	0.67851
930Kp_1	16.466014782035913	56.0	258.0899914482357	301	27.27272727272727	0.535562
930Kp_2	14.096026002439999	56.0	258.24097676832935	301	18.181818181818183	0.535562
937Kp_1	19.67444899278192	55.0	254.79284793997286	294	27.27272727272727	0.7047479999999999
937Kp_2	17.674681722060342	56.0	254.85612587761867	294	18.181818181818183	0.7047479999999999
953Kp_1	17.236973224296463	55.0	265.99237457496747	301	18.181818181818183	0.5564279999999999
953Kp_2	14.865762763073818	55.0	266.1017031853178	301	18.181818181818183	0.5564279999999999
954Kp_1	16.151561694930578	56.0	260.89987519145706	301	27.27272727272727	0.536021
954Kp_2	14.052816442073834	56.0	260.937753371603	301	18.181818181818183	0.536021
959Kp_1	18.47217720788811	55.0	261.73314906770787	301	18.181818181818183	0.565488
959Kp_2	16.222854418506202	55.0	261.8186743131596	301	9.090909090909092	0.565488
964Kp_1	16.670810197482197	56.0	259.57941129176345	294	27.27272727272727	0.5597
964Kp_2	14.057266263331186	56.0	259.7671520457388	301	18.181818181818183	0.5597
965Kp_1	16.75807913762287	56.0	266.48664524304013	301	18.181818181818183	0.590314
965Kp_2	13.94246505412498	56.0	266.63656206696777	301	18.181818181818183	0.590314
966Kp_1	18.248043946498157	56.0	266.40865922256484	301	18.181818181818183	0.655463
966Kp_2	15.211984080332599	56.0	266.5226923563954	301	9.090909090909092	0.655463
967Kp_1	18.169760679597644	56.0	258.51544195708425	301	27.27272727272727	0.652767
967Kp_2	15.344084334446677	56.0	258.6360309268085	301	18.181818181818183	0.652767
975Kp_1	20.10824637422502	55.0	255.45376482655234	301	27.27272727272727	0.684414
975Kp_2	17.419932864386396	55.0	255.5868436355773	301	9.090909090909092	0.684414
AMB201Kp_1	20.370789898844635	55.0	260.9232772231533	301	27.27272727272727	0.617535
AMB201Kp_2	16.891084284537797	55.0	261.0659241986284	301	18.181818181818183	0.617535
