match_name,ERR9904447,ERR9904449,ERR9904450,ERR9904452,ERR9904458,ERR9904480
GCA_000154345.1 [Clostridium] leptum DSM 753,0,139,0,0,0,143
GCA_000431795.1 Clostridium sp. CAG:302,0,0,0,30634,0,305
GCA_000431835.1 Succinatimonas sp. CAG:777,5128,0,0,0,0,0
GCA_000432135.1 Firmicutes bacterium CAG:124,2818,0,0,1051,0,261
GCA_000432335.1 Firmicutes bacterium CAG:646,0,1607,0,0,0,0
GCA_000432435.1 Eubacterium sp. CAG:180,471,0,0,0,0,434
GCA_000432595.1 Clostridium sp. CAG:710,1048,0,0,0,0,0
GCA_000432835.1 Clostridium sp. CAG:417,0,0,0,0,0,3692
GCA_000433035.1 Staphylococcus sp. CAG:324,0,0,0,2058,0,0
GCA_000433115.1 Ruminococcus sp. CAG:382,0,0,0,227,0,0
GCA_000433355.1 Alistipes sp. CAG:435,4780,0,0,0,0,0
GCA_000433455.1 Mycoplasma sp. CAG:877,22540,0,0,0,0,0
GCA_000433635.1 Ruminococcus sp. CAG:254,266,0,0,277,0,5216
GCA_000433675.1 Clostridium sp. CAG:433,0,0,0,711,0,0
GCA_000434035.1 Clostridium sp. CAG:452,14816,0,0,0,0,0
GCA_000434055.1 Ruminococcus sp. CAG:488,812,0,0,5996,0,0
GCA_000434175.1 Mycoplasma sp. CAG:611,0,0,0,8664,0,0
GCA_000434335.1 Clostridium sp. CAG:492,285,0,0,0,0,2930
GCA_000434475.1 Dialister sp. CAG:486,0,0,0,0,0,1628
GCA_000434635.1 Firmicutes bacterium CAG:110,327,0,0,151,0,230
GCA_000434775.1 Eggerthella sp. CAG:368,0,0,0,474,0,0
GCA_000434835.1 Clostridium sp. CAG:594,894,0,0,0,0,0
GCA_000434995.1 Firmicutes bacterium CAG:341,0,0,0,0,0,219
GCA_000435055.1 Clostridium sp. CAG:138,890,0,0,0,0,0
GCA_000435175.1 Clostridium sp. CAG:245,5516,0,0,0,0,0
GCA_000435195.1 Clostridium sp. CAG:169,0,0,0,0,0,2516
GCA_000435555.1 Firmicutes bacterium CAG:176,301,0,0,7264,0,168
GCA_000435975.1 Oscillibacter sp. CAG:241,427,0,0,0,0,198
GCA_000436075.1 Eggerthella sp. CAG:209,0,0,0,0,0,353
GCA_000436475.1 Eubacterium sp. CAG:248,0,0,0,514,0,0
GCA_000436735.1 Firmicutes bacterium CAG:170,641,0,0,404,0,0
GCA_000436835.1 Eubacterium sp. CAG:251,1644,0,0,0,0,0
