match_name,domain,phylum,class,order,family,genus,species
GCA_000154345.1 [Clostridium] leptum DSM 753,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_A,s__Clostridium_A leptum
GCA_000431795.1 Clostridium sp. CAG:302,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-302,s__CAG-302 sp000431795
GCA_000431835.1 Succinatimonas sp. CAG:777,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Succinivibrionaceae,g__Succinivibrio,s__Succinivibrio sp000431835
GCA_000432135.1 Firmicutes bacterium CAG:124,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-170,s__CAG-170 sp000432135
GCA_000432335.1 Firmicutes bacterium CAG:646,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Oliverpabstia,s__Oliverpabstia sp000432335
GCA_000432435.1 Eubacterium sp. CAG:180,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Fimenecus,s__Fimenecus sp000432435
GCA_000432595.1 Clostridium sp. CAG:710,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-710,s__CAG-710 sp000432595
GCA_000432835.1 Clostridium sp. CAG:417,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-417,s__CAG-417 sp000432835
GCA_000433035.1 Staphylococcus sp. CAG:324,d__Bacteria,p__Bacillota,c__Bacilli,o__ML615J-28,f__CAG-313,g__CAG-313,s__CAG-313 sp000433035
GCA_000433115.1 Ruminococcus sp. CAG:382,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__CAG-382,g__UBA1206,s__UBA1206 sp000433115
GCA_000433355.1 Alistipes sp. CAG:435,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__Cryptobacteroides sp000433355
GCA_000433455.1 Mycoplasma sp. CAG:877,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-877,s__CAG-877 sp000433455
GCA_000433635.1 Ruminococcus sp. CAG:254,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_C,s__Ruminococcus_C sp000433635
GCA_000433675.1 Clostridium sp. CAG:433,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-433,s__CAG-433 sp000433675
GCA_000434035.1 Clostridium sp. CAG:452,d__Bacteria,p__Bacillota,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-452,s__CAG-452 sp000434035
GCA_000434055.1 Ruminococcus sp. CAG:488,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-488,s__CAG-488 sp000434055
GCA_000434175.1 Mycoplasma sp. CAG:611,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__CAG-611,s__CAG-611 sp000434175
GCA_000434335.1 Clostridium sp. CAG:492,d__Bacteria,p__Bacillota,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-492,s__CAG-492 sp000434335
GCA_000434475.1 Dialister sp. CAG:486,d__Bacteria,p__Bacillota,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister sp000434475
GCA_000434635.1 Firmicutes bacterium CAG:110,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__Faecousia sp000434635
GCA_000434775.1 Eggerthella sp. CAG:368,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Anaerotardibacter,s__Anaerotardibacter sp000434775
GCA_000434835.1 Clostridium sp. CAG:594,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__Aphodocola,s__Aphodocola sp000434835
GCA_000434995.1 Firmicutes bacterium CAG:341,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Eubacterium_R,s__Eubacterium_R sp000434995
GCA_000435055.1 Clostridium sp. CAG:138,d__Bacteria,p__Bacillota,c__Clostridia,o__Christensenellales,f__CAG-138,g__PeH17,s__PeH17 sp000435055
GCA_000435175.1 Clostridium sp. CAG:245,d__Bacteria,p__Bacillota,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-245,s__CAG-245 sp000435175
GCA_000435195.1 Clostridium sp. CAG:169,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Negativibacillus,s__Negativibacillus sp000435195
GCA_000435555.1 Firmicutes bacterium CAG:176,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp000435555
GCA_000435975.1 Oscillibacter sp. CAG:241,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Vescimonas,s__Vescimonas sp000435975
GCA_000436075.1 Eggerthella sp. CAG:209,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Anaerotardibacter,s__Anaerotardibacter sp000436075
GCA_000436475.1 Eubacterium sp. CAG:248,d__Bacteria,p__Bacillota,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira sp000436475
GCA_000436735.1 Firmicutes bacterium CAG:170,d__Bacteria,p__Bacillota,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-170,s__CAG-170 sp000436735
