#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	805	1845	+	PMOIHC_00005	rbsB	LacI family transcriptional regulator	COG:COG1879, COG:G, RefSeq:WP_004176090.1, SO:0001217, UniParc:UPI000282F987, UniRef:UniRef100_A0A1V7W7J0, UniRef:UniRef50_A0A0C7KJS6, UniRef:UniRef90_A0A0C7KJS6
contig_1	cds	2038	2961	+	PMOIHC_00010	ycjR	AP endonuclease	COG:COG1082, COG:G, RefSeq:WP_032433119.1, SO:0001217, UniParc:UPI000452ED74, UniRef:UniRef100_A0A4S5PZY4, UniRef:UniRef50_A0A5P3EZS8, UniRef:UniRef90_A0A5P3EZS8
contig_1	cds	2975	4147	+	PMOIHC_00015	mviM	oxidoreductase	COG:COG0673, COG:R, RefSeq:WP_004184149.1, SO:0001217, UniParc:UPI000283028A, UniRef:UniRef100_A0A4V3YE16, UniRef:UniRef50_P94437, UniRef:UniRef90_A0A486L0N6
contig_1	cds	4185	5300	-	PMOIHC_00020		DUF4056 domain-containing protein	RefSeq:WP_004184150.1, SO:0001217, UniParc:UPI000283028B, UniRef:UniRef100_A0A4S4VC83, UniRef:UniRef50_E3G5F1, UniRef:UniRef90_A6T9F8
contig_1	ncRNA-region	5547	5648	+			TPP riboswitch (THI element)	RFAM:RF00059, SO:0000035
contig_1	cds	5717	6412	+	PMOIHC_00025	tenA	thiaminase II	COG:COG0819, COG:H, RefSeq:WP_015958456.1, SO:0001217, UniParc:UPI000157671B, UniRef:UniRef100_W9BH16, UniRef:UniRef50_W9BH16, UniRef:UniRef90_W9BH16
contig_1	cds	6409	7137	+	PMOIHC_00030	tauB	ABC transporter ATP-binding protein	COG:COG1116, COG:P, RefSeq:WP_004224984.1, SO:0001217, UniParc:UPI0002186388, UniRef:UniRef100_A0A7U7F4D5, UniRef:UniRef50_A0A2R8CP90, UniRef:UniRef90_A0A2V3K5T4
contig_1	cds	7134	7874	+	PMOIHC_00035	tauC	ABC transporter permease	COG:COG0600, COG:P, RefSeq:WP_004180004.1, SO:0001217, UniParc:UPI000157671D, UniRef:UniRef100_A0A7U7F4D4, UniRef:UniRef50_A0A169VH24, UniRef:UniRef90_A0A169VH24
contig_1	cds	7899	8834	+	PMOIHC_00040	tauA	thiamine biosynthesis protein	COG:COG0715, COG:P, RefSeq:WP_023287669.1, SO:0001217, UniParc:UPI0003BE3F25, UniRef:UniRef100_A0A4S5PW46, UniRef:UniRef50_A0A0A2W5T5, UniRef:UniRef90_R4Y8G1
contig_1	cds	9144	10526	+	PMOIHC_00045	argD	diaminobutyrate--2-oxoglutarate transaminase	COG:COG0160, COG:E, EC:2.6.1.76, KEGG:K00836, RefSeq:WP_004176074.1, SO:0001217, UniParc:UPI0002410723, UniRef:UniRef100_A0A0E1CIU4, UniRef:UniRef50_P56744, UniRef:UniRef90_A0A336JD64
contig_1	cds	10545	12017	+	PMOIHC_00050	gadA	aspartate aminotransferase family protein	COG:COG0076, COG:E, EC:4.1.1.86, KEGG:K13745, RefSeq:WP_004143675.1, SO:0001217, UniParc:UPI000157671F, UniRef:UniRef100_A0A7U7IIY4, UniRef:UniRef50_A0A085GEJ2, UniRef:UniRef90_A0A181XCF0
contig_1	cds	12223	13104	+	PMOIHC_00055	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A2X3I5R6, UniRef:UniRef90_A0A0E1CEH7
contig_1	cds	13436	14626	-	PMOIHC_00060	ccdA	cytochrome C biogenesis protein	COG:CO, COG:COG0785, RefSeq:WP_032433120.1, SO:0001217, UniParc:UPI00044E5D82, UniRef:UniRef100_A0A4S8C3J5, UniRef:UniRef50_A0A483VZA7, UniRef:UniRef90_A0A483VZA7
contig_1	cds	14729	16072	-	PMOIHC_00065	baeS	two-component sensor histidine kinase	COG:COG0642, COG:T, RefSeq:WP_020802158.1, SO:0001217, UniParc:UPI0003420E28, UniRef:UniRef100_A0A4S7LZ97, UniRef:UniRef50_A0A447L581, UniRef:UniRef90_A0A5P3HX65
contig_1	cds	16069	16809	-	PMOIHC_00070	ompR	DNA-binding response regulator	COG:COG0745, COG:TK, RefSeq:WP_004176065.1, SO:0001217, UniParc:UPI000282F97B, UniRef:UniRef100_A0A0J2GWH3, UniRef:UniRef50_A0A423P6H5, UniRef:UniRef90_A0A0J2GWH3
contig_1	cds	16896	17888	-	PMOIHC_00075	menH	alpha/beta hydrolase	COG:COG0596, COG:HR, RefSeq:WP_004189934.1, SO:0001217, UniParc:UPI000218638D, UniRef:UniRef100_A0A7U7IHE9, UniRef:UniRef50_A0A447L571, UniRef:UniRef90_A0A2X1QXG3
contig_1	cds	18132	19151	+	PMOIHC_00080		peptidase	COG:COG2355, COG:OE, RefSeq:WP_023283754.1, SO:0001217, UniParc:UPI0003BF97C0, UniRef:UniRef100_A0A8D4D3K9, UniRef:UniRef50_A0A085JEX5, UniRef:UniRef90_A0A0W2RCG4
contig_1	sorf	19288	19359	+	PMOIHC_00085	pqqA	Coenzyme PQQ synthesis protein A	GO:0018189, RefSeq:WP_002905689.1, SO:0001217, UniParc:UPI0000132129, UniRef:UniRef100_B5XX62, UniRef:UniRef50_B5XX62, UniRef:UniRef90_B5XX62
contig_1	cds	19414	20340	+	PMOIHC_00090	pqqB	pyrroloquinoline quinone biosynthesis protein PqqB	COG:COG1235, COG:P, GO:0018189, KEGG:K06136, RefSeq:WP_004148467.1, SO:0001217, UniParc:UPI0001A58AAF, UniRef:UniRef100_W9B931, UniRef:UniRef50_Q6F9J2, UniRef:UniRef90_P27504
contig_1	cds	20334	21089	+	PMOIHC_00095	pqqC	pyrroloquinoline-quinone synthase PqqC	COG:COG5424, COG:H, EC:1.3.3.11, GO:0006725, GO:0018189, GO:0033732, KEGG:K06137, RefSeq:WP_032433121.1, SO:0001217, UniParc:UPI0004503AFC, UniRef:UniRef100_A0A4S4WJ08, UniRef:UniRef50_P27505, UniRef:UniRef90_P27505
contig_1	cds	21092	21370	+	PMOIHC_00100	pqqD	pyrroloquinoline quinone biosynthesis peptide chaperone PqqD	GO:0018189, GO:0048038, RefSeq:WP_004143686.1, SO:0001217, UniParc:UPI0000132132, UniRef:UniRef100_P27506, UniRef:UniRef50_P59725, UniRef:UniRef90_P27506
contig_1	cds	21357	22499	+	PMOIHC_00105	pqqE	pyrroloquinoline quinone biosynthesis protein PqqE	COG:COG0535, COG:DH, EC:1.21.98.4, GO:0005506, GO:0009975, GO:0016491, GO:0018189, GO:0051539, GO:1904047, RefSeq:WP_004184158.1, SO:0001217, UniParc:UPI0000132134, UniRef:UniRef100_P27507, UniRef:UniRef50_P07782, UniRef:UniRef90_P27507
contig_1	cds	22499	24784	+	PMOIHC_00110	pqqF	pyrroloquinoline quinone biosynthesis protein PqqF	COG:COG1025, COG:O, EC:3.4.24.-, GO:0004222, GO:0006508, GO:0008270, GO:0018189, RefSeq:WP_032424997.1, SO:0001217, UniParc:UPI00044D7212, UniRef:UniRef100_A0A4S4WK18, UniRef:UniRef50_P27508, UniRef:UniRef90_P27508
contig_1	cds	24781	25518	-	PMOIHC_00115	guaA1	glutamine amidotransferase	COG:COG0518, COG:F, RefSeq:WP_032433122.1, SO:0001217, UniParc:UPI000447354D, UniRef:UniRef100_A0A4S4U489, UniRef:UniRef50_A0A486KWX3, UniRef:UniRef90_A0A486KWX3
contig_1	cds	25631	27541	-	PMOIHC_00120	mrdA	penicillin-binding protein 2	RefSeq:WP_002905759.1, SO:0001217, UniParc:UPI000205BBF6, UniRef:UniRef100_W9B8H3, UniRef:UniRef50_A0A5Q9LEH1, UniRef:UniRef90_A0A5Q9LEH1
contig_1	cds	27740	28216	-	PMOIHC_00125	ydcZ	Putative inner membrane exporter, YdcZ	COG:COG3238, COG:S, KEGG:K09936, RefSeq:WP_019705686.1, SO:0001217, UniParc:UPI0002E454DE, UniRef:UniRef100_A0A060VHQ7, UniRef:UniRef50_Q1QZC9, UniRef:UniRef90_W9BPC6
contig_1	cds	28226	28660	-	PMOIHC_00130	ydcZ	EamA-like transporter family protein	COG:COG3238, COG:S, KEGG:K09936, RefSeq:WP_002905764.1, SO:0001217, UniParc:UPI0002687663, UniRef:UniRef100_A0A7U9CXR3, UniRef:UniRef50_Q4KEG2, UniRef:UniRef90_W9BH24
contig_1	cds	28760	29692	+	PMOIHC_00135	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, RefSeq:WP_032433123.1, SO:0001217, UniParc:UPI00044BD635, UniRef:UniRef100_A0A4S4U2B0, UniRef:UniRef50_R8YU38, UniRef:UniRef90_A0A086IAA7
contig_1	cds	29961	32138	+	PMOIHC_00140	katG	Catalase-peroxidase	COG:COG0376, COG:P, EC:1.11.1.21, GO:0004096, GO:0006979, GO:0020037, GO:0042744, GO:0046872, KEGG:K03782, RefSeq:WP_009485840.1, SO:0001217, UniParc:UPI0001A5854F, UniRef:UniRef100_A0A3F3BF98, UniRef:UniRef50_Q04657, UniRef:UniRef90_A6T9H9
contig_1	cds	32173	33234	-	PMOIHC_00145	zapE	cell division protein ZapE	COG:COG1485, COG:D, RefSeq:WP_032433124.1, SO:0001217, UniParc:UPI000446EE65, UniRef:UniRef100_A0A4S7LFN1, UniRef:UniRef50_A0A2U0LYI6, UniRef:UniRef90_A0A2U0LYI6
contig_1	cds	33331	34011	-	PMOIHC_00150	sapB	MgtC family protein	COG:COG1285, COG:P, KEGG:K07507, RefSeq:WP_002906011.1, SO:0001217, UniParc:UPI0001B74727, UniRef:UniRef100_A0A0E1CDV7, UniRef:UniRef50_A0A2X1QVG8, UniRef:UniRef90_A0A2A5MQE6
contig_1	ncRNA-region	34183	34291	-			Salmonella mgtC leader RNA	RFAM:RF02887, SO:0000140
contig_1	cds	34599	36005	+	PMOIHC_00155	cynX	MFS transporter	COG:COG2807, COG:P, RefSeq:WP_023287676.1, SO:0001217, UniParc:UPI0003BE3570, UniRef:UniRef100_A0A263K6K7, UniRef:UniRef50_W0BSK8, UniRef:UniRef90_W9BH27
contig_1	cds	36046	36360	-	PMOIHC_00160	celC	PTS lactose/cellobiose transporter subunit IIA	COG:COG1447, COG:G, RefSeq:WP_004180041.1, SO:0001217, UniParc:UPI0001A58553, UniRef:UniRef100_W9BGJ9, UniRef:UniRef50_W9BGJ9, UniRef:UniRef90_W9BGJ9
contig_1	cds	36597	37478	-	PMOIHC_00165	lysR	LysR family transcriptional regulator	COG:COG0583, COG:K, RefSeq:WP_023287677.1, SO:0001217, UniParc:UPI0003BF8DDE, UniRef:UniRef100_A0A4S7L5P3, UniRef:UniRef50_A8AFV0, UniRef:UniRef90_R4Y8T4
contig_1	cds	37628	39928	-	PMOIHC_00170	bisC	CbbBc protein	COG:C, COG:COG0243, RefSeq:WP_094317226.1, SO:0001217, UniParc:UPI000B957D30, UniRef:UniRef100_UPI000B957D30, UniRef:UniRef50_P77561, UniRef:UniRef90_A0A0C7KK32
contig_1	cds	40244	41161	-	PMOIHC_00175	yneE	ibestrophin	COG:COG3781, COG:P, KEGG:K08994, RefSeq:WP_004148478.1, SO:0001217, UniParc:UPI00015767EF, UniRef:UniRef100_A0A7U7F4G6, UniRef:UniRef50_P76146, UniRef:UniRef90_R4YDF9
contig_1	cds	41411	42334	-	PMOIHC_00180	fieF	cation-efflux pump	COG:COG0053, COG:P, KEGG:K13283, RefSeq:WP_004151892.1, SO:0001217, UniParc:UPI0002186394, UniRef:UniRef100_V0AE46, UniRef:UniRef50_R4Y911, UniRef:UniRef90_R4Y911
contig_1	cds	42556	43242	+	PMOIHC_00185	hisJ	amino acid ABC transporter substrate-binding protein	COG:COG0834, COG:ET, RefSeq:WP_004184165.1, SO:0001217, UniParc:UPI00015767F2, UniRef:UniRef100_A0A7U7F4F5, UniRef:UniRef50_A0A7U7F4F5, UniRef:UniRef90_A0A7U7F4F5
