#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	44763	44909	-	DKLDBC_00200	5.5	5.2		RefSeq:WP_002906033.1, SO:0001217, UniParc:UPI00015767F5, UniRef:UniRef100_A0A7U7F689, UniRef:UniRef50_A0A1V3Z291, UniRef:UniRef90_A0A7U7F689
contig_1	45471	45974	+	DKLDBC_00210	19.1	7.8		RefSeq:WP_023287680.1, SO:0001217, UniParc:UPI0003BE155D, UniRef:UniRef100_A0A4S4YK16, UniRef:UniRef50_R4Y8D6, UniRef:UniRef90_W9B8I8
contig_1	46441	46536	-	DKLDBC_00220	3.5	4.4		SO:0001217, UniParc:UPI0002410629, UniRef:UniRef100_A0A0C7KK38, UniRef:UniRef50_A0A0C7KK38, UniRef:UniRef90_A0A0C7KK38
contig_1	138135	138257	+	DKLDBC_00650	4.4	11.1		RefSeq:WP_004175940.1, SO:0001217, UniParc:UPI0001576BCF, UniRef:UniRef100_A0A8D6FY94, UniRef:UniRef50_W9B9A9, UniRef:UniRef90_W9B9A9
contig_1	145788	145886	-	DKLDBC_00690	3.7	5.8		SO:0001217, UniParc:UPI0002186516, UniRef:UniRef100_A0A0E1CDN3, UniRef:UniRef50_A0A0E1CDN3, UniRef:UniRef90_A0A0E1CDN3
contig_1	174242	174427	-	DKLDBC_00830	6.7	6.5		RefSeq:WP_002907644.1, SO:0001217, UniParc:UPI0001576D5F, UniRef:UniRef100_W9BGR8, UniRef:UniRef50_W9BGR8, UniRef:UniRef90_W9BGR8
contig_1	224021	224170	-	DKLDBC_01110	5.5	11.1		RefSeq:WP_002907802.1, SO:0001217, UniParc:UPI0001A58ABE, UniRef:UniRef100_A0A0E1CHR3, UniRef:UniRef50_A0A7H4MLH5, UniRef:UniRef90_A0A0E1CHR3
contig_1	263525	263665	+	DKLDBC_01310	5.1	4.1		RefSeq:WP_002908189.1, SO:0001217, UniParc:UPI00015763E4, UniRef:UniRef100_A0A7U7F6M9, UniRef:UniRef50_A0A2S4RZ35, UniRef:UniRef90_A0A7U7F6M9
contig_1	275123	275764	+	DKLDBC_01370	24.4	9.6		RefSeq:WP_004145379.1, SO:0001217, UniParc:UPI00015763EF, UniRef:UniRef100_A0A7U7F4V0, UniRef:UniRef50_W9B924, UniRef:UniRef90_W9B924
contig_1	286736	287125	-	DKLDBC_01420	14.3	8.5		RefSeq:WP_004189565.1, SO:0001217, UniParc:UPI00029CD181, UniRef:UniRef100_A0A098CF51, UniRef:UniRef50_K8A3B1, UniRef:UniRef90_K8A3B1
contig_1	287987	288772	-	DKLDBC_01430	28.1	11.3		SO:0001217, UniParc:UPI0004462579, UniRef:UniRef100_A0A8B4U7Z6, UniRef:UniRef50_A0A6I7JXW1, UniRef:UniRef90_A0A8B4SU05
contig_1	361722	361919	-	DKLDBC_01780	6.9	5.2		RefSeq:WP_002908880.1, SO:0001217, UniParc:UPI000157673C, UniRef:UniRef100_A0A0E1CHE6, UniRef:UniRef50_A0A0E1CHE6, UniRef:UniRef90_A0A0E1CHE6
contig_1	377078	377296	-	DKLDBC_01845	8.1	9.0		RefSeq:WP_004143192.1, SO:0001217, UniParc:UPI0001A585C9, UniRef:UniRef100_A0A0C4M5H7, UniRef:UniRef50_A0A0C4M5H7, UniRef:UniRef90_A0A0C4M5H7
