intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,organism_name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes,lineage,WGS_ID,relative_abundance,p_vals,actual_confidence_with_coverage,alt_confidence_mut_rate_with_coverage,file_name
,,,,,,,,,GCA_001321855.1 SAR11 cluster bacterium PRT-SC02,,,,,,,,,,,,,,,,,,,,,,,SRR1145844,,0.209317577283277,0.957553806125056,0.0550115390316561,min_coverage0.01
,,,,,,,,,GCA_001321855.1 SAR11 cluster bacterium PRT-SC02,,,,,,,,,,,,,,,,,,,,,,,SRR1145845,,0.209317577283277,0.957553806125056,0.0550115390316561,min_coverage0.01
,,,,,,,,,GCA_001321855.1 SAR11 cluster bacterium PRT-SC02,,,,,,,,,,,,,,,,,,,,,,,SRR1145847,,1.0,0.957553806125056,0.0550115390316561,min_coverage0.01
206000.0,0.3786764705882353,0.0526719509076962,0.3786764705882353,0.1507082152974504,1.2912621359223302,1.0,0.485339796114563,GCF_000313175.2_genomic.fna.gz,GCF_000313175.2 Leptospira santarosai serovar Shermani str. LT 821,7ce5d016953584ac06d66d7ce129abed,0.0526719509076962,206000.0,0.0,338000.0,/mnt/data1/quantnm/workflow/profiler_sourmash/work/dc/d1c1b01a1bd6cc6685dcf002fd5a8e/SRR1145846/SRR1145846.fastq.gz,SRR1145846,4775d759b2bb789f53d658311d19f232,544000.0,31.0,DNA,1000.0,544.0,True,0.9691606047955396,0.9094118856236024,0.939286245209571,0.9691606047955396,266.0,266.0,1765.0,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira santarosai,SRR1145846,0.11671388101983,1.0 | 1.0,0.98824552212479 | 0.977536025242539,0.0106722841303917 | 0.0199081234166042,min_coverage0.05 | min_coverage0.01
,,,,,,,,,unclassified,,,,,,,,,,,,,,,,,,,,,,,SRR1145846,0.88328611898017,,,,
