#Annotated with Bakta v1.6.1, https://github.com/oschwengers/bakta
#Database v4.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	44763	44909	-	PMOIHC_00200	5.5	5.2		RefSeq:WP_002906033.1, SO:0001217, UniParc:UPI00015767F5, UniRef:UniRef100_A0A7U7F689, UniRef:UniRef50_A0A1V3Z291, UniRef:UniRef90_A0A7U7F689
contig_1	45471	45974	+	PMOIHC_00210	19.1	7.8		RefSeq:WP_023287680.1, SO:0001217, UniParc:UPI0003BE155D, UniRef:UniRef100_A0A4S4YK16, UniRef:UniRef50_R4Y8D6, UniRef:UniRef90_W9B8I8
contig_1	46441	46536	-	PMOIHC_00220	3.5	4.4		SO:0001217, UniParc:UPI0002410629, UniRef:UniRef100_A0A0C7KK38, UniRef:UniRef50_A0A0C7KK38, UniRef:UniRef90_A0A0C7KK38
contig_1	138135	138257	+	PMOIHC_00650	4.4	11.1		RefSeq:WP_004175940.1, SO:0001217, UniParc:UPI0001576BCF, UniRef:UniRef100_A0A8D6FY94, UniRef:UniRef50_W9B9A9, UniRef:UniRef90_W9B9A9
contig_1	145788	145886	-	PMOIHC_00690	3.7	5.8		SO:0001217, UniParc:UPI0002186516, UniRef:UniRef100_A0A0E1CDN3, UniRef:UniRef50_A0A0E1CDN3, UniRef:UniRef90_A0A0E1CDN3
contig_1	174242	174427	-	PMOIHC_00830	6.7	6.5		RefSeq:WP_002907644.1, SO:0001217, UniParc:UPI0001576D5F, UniRef:UniRef100_W9BGR8, UniRef:UniRef50_W9BGR8, UniRef:UniRef90_W9BGR8
contig_1	224021	224170	-	PMOIHC_01110	5.5	11.1		RefSeq:WP_002907802.1, SO:0001217, UniParc:UPI0001A58ABE, UniRef:UniRef100_A0A0E1CHR3, UniRef:UniRef50_A0A7H4MLH5, UniRef:UniRef90_A0A0E1CHR3
contig_1	263525	263665	+	PMOIHC_01310	5.1	4.1		RefSeq:WP_002908189.1, SO:0001217, UniParc:UPI00015763E4, UniRef:UniRef100_A0A7U7F6M9, UniRef:UniRef50_A0A2S4RZ35, UniRef:UniRef90_A0A7U7F6M9
contig_1	275123	275764	+	PMOIHC_01370	24.4	9.6		RefSeq:WP_004145379.1, SO:0001217, UniParc:UPI00015763EF, UniRef:UniRef100_A0A7U7F4V0, UniRef:UniRef50_W9B924, UniRef:UniRef90_W9B924
contig_1	286736	287125	-	PMOIHC_01420	14.3	8.5		RefSeq:WP_004189565.1, SO:0001217, UniParc:UPI00029CD181, UniRef:UniRef100_A0A098CF51, UniRef:UniRef50_K8A3B1, UniRef:UniRef90_K8A3B1
contig_1	287987	288772	-	PMOIHC_01430	28.1	11.3		SO:0001217, UniParc:UPI0004462579, UniRef:UniRef100_A0A8B4U7Z6, UniRef:UniRef50_A0A6I7JXW1, UniRef:UniRef90_A0A8B4SU05
contig_1	377078	377296	-	PMOIHC_01845	8.1	9.0		RefSeq:WP_004143192.1, SO:0001217, UniParc:UPI0001A585C9, UniRef:UniRef100_A0A0C4M5H7, UniRef:UniRef50_A0A0C4M5H7, UniRef:UniRef90_A0A0C4M5H7
contig_1	377412	377732	+	PMOIHC_01850	11.2	6.3		RefSeq:WP_004184563.1, SO:0001217, UniParc:UPI000205C4FA, UniRef:UniRef100_A0A7U7F509, UniRef:UniRef50_A0A377WKC4, UniRef:UniRef90_A0A377WKC4
contig_1	406095	406328	-	PMOIHC_01990	7.9	6.2		RefSeq:WP_039818253.1, SO:0001217, UniParc:UPI0005851E1D, UniRef:UniRef100_A0A4S4WMU2, UniRef:UniRef50_A0A486SP11, UniRef:UniRef90_A0A486SP11
contig_1	413134	413340	-	PMOIHC_02030	8.3	12.0		SO:0001217, UniParc:UPI0002410C50, UniRef:UniRef100_A0A0E1CDD0, UniRef:UniRef50_G9Z8N6, UniRef:UniRef90_A0A0E1CDD0
contig_1	493267	494703	-	PMOIHC_02380	52.4	6.2		SO:0001217, UniParc:UPI0003000D55, UniRef:UniRef100_A0A4S4YT84, UniRef:UniRef50_A0A422ZCU0, UniRef:UniRef90_A0A422ZCU0
contig_2	7848	8192	-	PMOIHC_03320	12.4	9.0		RefSeq:WP_032432889.1, SO:0001217, UniParc:UPI000451283B, UniRef:UniRef100_A0A4S4UZV6, UniRef:UniRef50_B5XMU4, UniRef:UniRef90_A0A4S4UZV6
contig_2	98378	98527	+	PMOIHC_03770	5.0	5.2		SO:0001217, UniRef:UniRef50_V0A9S1, UniRef:UniRef90_A0A2X1QCJ5
contig_2	104297	104518	-	PMOIHC_03810	7.9	7.8		RefSeq:WP_002898602.1, SO:0001217, UniParc:UPI00015762E4, UniRef:UniRef100_A0A7U7IGD8, UniRef:UniRef50_A0A2N4W2I4, UniRef:UniRef90_A0A2N4W2I4
contig_2	104775	104897	+	PMOIHC_03815	4.4	10.4		RefSeq:WP_002898600.1, SO:0001217, UniParc:UPI00015762E3, UniRef:UniRef100_A0A0E1CGT0, UniRef:UniRef50_A0A0E1CGT0, UniRef:UniRef90_A0A0E1CGT0
contig_2	172350	172565	+	PMOIHC_04120	8.1	9.6		RefSeq:WP_004141776.1, SO:0001217, UniParc:UPI0001B775A9, UniRef:UniRef100_A0A2X1QRE9, UniRef:UniRef50_A0A2X1QRE9, UniRef:UniRef90_A0A2X1QRE9
contig_2	246120	246284	-	PMOIHC_04400	5.8	7.7		RefSeq:WP_002896395.1, SO:0001217, UniParc:UPI0002186873, UniRef:UniRef100_V0AWN8, UniRef:UniRef50_A0A0E1CGL0, UniRef:UniRef90_A0A0E1CGL0
contig_2	348656	348748	-	PMOIHC_04885	3.6	8.4		SO:0001217, UniParc:UPI0001BDD3C4, UniRef:UniRef100_A0A0E1CH20, UniRef:UniRef50_A0A0E1CH20, UniRef:UniRef90_A0A0E1CH20
contig_2	371883	371993	+	PMOIHC_04975	3.7	6.0		SO:0001217, UniParc:UPI0001575D42, UniRef:UniRef100_A0A447S3R1, UniRef:UniRef50_A0A447S3R1, UniRef:UniRef90_A0A447S3R1
contig_2	377178	377684	-	PMOIHC_04995	19.2	6.1		RefSeq:WP_002895283.1, SO:0001217, UniParc:UPI0001575D3F, UniRef:UniRef100_A0A7U7F2F3, UniRef:UniRef50_B5XRF4, UniRef:UniRef90_A0A169AQY3
contig_2	382113	382418	+	PMOIHC_05025	11.5	9.7		KEGG:K21975, RefSeq:WP_032433858.1, SO:0001217, UniParc:UPI00044E8B6A, UniRef:UniRef100_A0A4S7LBK7, UniRef:UniRef50_A0A7S9E197, UniRef:UniRef90_A0A7S9E197
contig_2	447082	447657	-	PMOIHC_05375	20.3	11.5		SO:0001217, UniParc:UPI00044F510F, UniRef:UniRef100_A0A331YP51, UniRef:UniRef50_A0A331YP51, UniRef:UniRef90_A0A331YP51
contig_2	531039	532280	-	PMOIHC_05795	45.8	5.7	PF08309.14|LVIVD, PF08309.14|LVIVD	COG:COG5276, COG:S, PFAM:PF08309.14, PFAM:PF08309.14, RefSeq:WP_020801569.1, SO:0001217, UniParc:UPI0003421315, UniRef:UniRef100_A0A4S6V432, UniRef:UniRef50_A0A833G4K0, UniRef:UniRef90_A0A0H3CN84
contig_3	48782	49054	+	PMOIHC_06370	10.1	8.3		RefSeq:WP_023279116.1, SO:0001217, UniParc:UPI000318EDA4, UniRef:UniRef100_A0A7U9D1J3, UniRef:UniRef50_W1HY11, UniRef:UniRef90_W1HY11
contig_3	67180	67326	-	PMOIHC_06465	5.6	8.1		SO:0001217, UniRef:UniRef50_A0A4R3ZIW8, UniRef:UniRef90_UPI00036CEE3C
contig_3	145579	148020	+	PMOIHC_06830	89.9	5.9	PF09994.12|DUF2235, PF09994.12|DUF2235	PFAM:PF09994.12, PFAM:PF09994.12, RefSeq:WP_032432956.1, SO:0001217, UniParc:UPI00044648E0, UniRef:UniRef100_A0A4S4TSL7, UniRef:UniRef50_A0A2J9SH40, UniRef:UniRef90_A0A2X3CAR6
contig_3	148295	149434	+	PMOIHC_06840	41.6	5.7		RefSeq:WP_023287565.1, SO:0001217, UniParc:UPI0003BF7C48, UniRef:UniRef100_A0A4S7LRU7, UniRef:UniRef50_L0MDP8, UniRef:UniRef90_A0A0E1CF38
contig_3	157965	158459	+	PMOIHC_06870	18.3	6.3		RefSeq:WP_004179572.1, SO:0001217, UniParc:UPI000282EF73, UniRef:UniRef100_A0A1V7XCR4, UniRef:UniRef50_W9BP40, UniRef:UniRef90_A0A1V7XCR4
contig_3	177858	178052	-	PMOIHC_06980	7.6	6.1		RefSeq:WP_004176404.1, SO:0001217, UniParc:UPI000157636B, UniRef:UniRef100_A0A7U7F3P4, UniRef:UniRef50_A0A087FKZ6, UniRef:UniRef90_A0A087FKZ6
contig_3	258359	258877	+	PMOIHC_07350	19.6	7.8		SO:0001217, UniParc:UPI000205DDA7, UniRef:UniRef100_A0A0C7KD08, UniRef:UniRef50_B5XRF4, UniRef:UniRef90_B5XRF4
contig_3	273430	273792	-	PMOIHC_07410	14.0	6.3		RefSeq:WP_002903374.1, SO:0001217, UniParc:UPI0001575FBC, UniRef:UniRef100_A0A7U7F3U9, UniRef:UniRef50_A0A0J4N9Z3, UniRef:UniRef90_B5XRE1
contig_4	24105	24206	-	PMOIHC_07615	4.1	8.8		SO:0001217, UniParc:UPI0002410CD1, UniRef:UniRef100_J2LNT0, UniRef:UniRef50_A0A2J4VVS7, UniRef:UniRef90_A0A6B3VI75
contig_4	73257	73604	-	PMOIHC_07825	13.5	5.9	PF05973.17|Gp49	COG:COG4683, COG:S, PFAM:PF05973.17, RefSeq:WP_032433636.1, SO:0001217, UniParc:UPI00044C8191, UniRef:UniRef100_A0A4S7KZ03, UniRef:UniRef50_A0A1B8H9Y4, UniRef:UniRef90_A0A486LFK7
contig_5	5680	6150	-	PMOIHC_08690	17.4	9.1		RefSeq:WP_032419293.1, SO:0001217, UniParc:UPI0003EBA09D, UniRef:UniRef100_A0A6N3GKS1, UniRef:UniRef50_C9XYI4, UniRef:UniRef90_R4YC34
contig_5	6150	6626	-	PMOIHC_08695	18.1	4.4		RefSeq:WP_165451368.1, SO:0001217, UniParc:UPI000DE7464C, UniRef:UniRef100_UPI000DE7464C, UniRef:UniRef50_C9XYI3, UniRef:UniRef90_A0A0E1CMV6
contig_5	6673	6915	-	PMOIHC_08700	8.9	5.4		RefSeq:WP_029602700.1, SO:0001217, UniParc:UPI000497083F, UniRef:UniRef100_UPI000497083F, UniRef:UniRef50_A0A377Y4P4, UniRef:UniRef90_A0A332BYF2
contig_5	11745	12065	-	PMOIHC_08715	11.9	9.8		RefSeq:WP_094317178.1, SO:0001217, UniParc:UPI000B95C8CB, UniRef:UniRef100_UPI001D0D31BC, UniRef:UniRef50_A0A1S0W973, UniRef:UniRef90_A0A1S0W973
contig_5	12486	12800	-	PMOIHC_08720	12.3	9.8		
contig_5	15225	15617	-	PMOIHC_08740	14.3	6.0		RefSeq:WP_040229586.1, SO:0001217, UniParc:UPI00058AE849, UniRef:UniRef100_UPI00058AE849, UniRef:UniRef50_A0A1L5C6X8, UniRef:UniRef90_A0A1L5C6X8
contig_5	15614	16039	-	PMOIHC_08745	15.6	10.0		RefSeq:WP_004151265.1, SO:0001217, UniParc:UPI0002687218, UniRef:UniRef100_A0A0J2GAP0, UniRef:UniRef50_A0A1B7IQH9, UniRef:UniRef90_A0A0J2GAP0
contig_5	16735	17097	-	PMOIHC_08760	13.1	4.2		RefSeq:WP_094317168.1, SO:0001217, UniParc:UPI000B951C51, UniRef:UniRef100_UPI000B951C51, UniRef:UniRef50_G9Y3S6, UniRef:UniRef90_A0A859RZM7
