#Annotated with Bakta (v1.6.1): https://github.com/oschwengers/bakta
#Database (v4.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	19	258	+	KFELJI_00005		DNA polymerase V	RefSeq:WP_032443530.1, SO:0001217, UniParc:UPI0004539986, UniRef:UniRef100_A0A1V7WSV7, UniRef:UniRef50_A0A4P7J1F4, UniRef:UniRef90_A0A1V7WSV7
contig_1	cds	215	586	+	KFELJI_00010		UmnD	RefSeq:WP_039817864.1, SO:0001217, UniParc:UPI0005858CD1, UniRef:UniRef100_UPI0005858CD1, UniRef:UniRef50_A0A2V3K5Q9, UniRef:UniRef90_A0A7I6GZJ9
contig_1	tRNA	804	918	+	KFELJI_00015		tRNA-Xxx	
contig_1	cds	1191	2336	-	KFELJI_00020	ompC	porin	COG:COG3203, COG:M, RefSeq:WP_039817862.1, SO:0001217, UniParc:UPI0005858CEF, UniRef:UniRef100_A0A4S7L8U3, UniRef:UniRef50_P06996, UniRef:UniRef90_A0A0J4RHQ3
contig_1	cds	2875	3156	+	KFELJI_00025	drpB	cell division protein DrpB	RefSeq:WP_019705175.1, SO:0001217, UniParc:UPI000372F7DC, UniRef:UniRef100_A0A4S8CMU4, UniRef:UniRef50_A0A0J4RKP6, UniRef:UniRef90_A0A0J4RKP6
contig_1	cds	3199	3906	+	KFELJI_00030	rnaY	phosphohydrolase	COG:COG1418, COG:JR, KEGG:K06950, RefSeq:WP_002911594.1, SO:0001217, UniParc:UPI000157667F, UniRef:UniRef100_A0A0W8ARL5, UniRef:UniRef50_P46144, UniRef:UniRef90_A0A663B373
contig_1	cds	3983	5383	+	KFELJI_00035	dcm	DNA (cytosine-5-)-methyltransferase	COG:COG0270, COG:L, EC:2.1.1.37, KEGG:K00558, RefSeq:WP_072196975.1, SO:0001217, UniParc:UPI000658898D, UniRef:UniRef100_UPI000658898D, UniRef:UniRef50_A0A2X3H9P2, UniRef:UniRef90_A0A2X3H9P2
contig_1	cds	5361	5858	+	KFELJI_00040	vsr	very short patch repair endonuclease	COG:COG3727, COG:L, SO:0001217, UniParc:UPI000157667D, UniRef:UniRef100_A0A2X3HF96, UniRef:UniRef50_P09184, UniRef:UniRef90_W9BAM6
contig_1	cds	5833	6744	-	KFELJI_00045	yedA	drug/metabolite exporter YedA	COG:COG0697, COG:GER, RefSeq:WP_004184683.1, SO:0001217, UniParc:UPI0001A5866E, UniRef:UniRef100_A0A169G7B3, UniRef:UniRef50_P0AA72, UniRef:UniRef90_A0A169G7B3
contig_1	cds	6928	7839	+	KFELJI_00050	mutK	DUF808 domain-containing protein	COG:COG2354, COG:L, KEGG:K09781, RefSeq:WP_039817855.1, SO:0001217, UniParc:UPI000585A8D2, UniRef:UniRef100_A0A4V4EWH3, UniRef:UniRef50_P46125, UniRef:UniRef90_A0A378BHF5
contig_1	cds	7955	9634	+	KFELJI_00055	yedQ	cellulose biosynthesis regulator YedQ	COG:COG2199, COG:T, RefSeq:WP_039817853.1, SO:0001217, UniParc:UPI000585B6E8, UniRef:UniRef100_A0A4S7LYJ6, UniRef:UniRef50_A0A2V3KJF8, UniRef:UniRef90_A0A2V3KJF8
contig_1	ncRNA	9836	9920	+	KFELJI_00060	DsrA	DsrA RNA	RFAM:RF00014, SO:0000655
contig_1	cds	9934	10158	-	KFELJI_00065		DUF2525 domain-containing protein	SO:0001217, UniParc:UPI00015765BE, UniRef:UniRef100_A0A332W8F2, UniRef:UniRef50_P64520, UniRef:UniRef90_A0A1C3QYX5
contig_1	cds	10290	10481	+	KFELJI_00070	dsrB	protein DsrB	RefSeq:WP_002911586.1, SO:0001217, UniParc:UPI0001A5866C, UniRef:UniRef100_A0A231WPS2, UniRef:UniRef50_Q6D6J8, UniRef:UniRef90_B5XPV7
contig_1	cds	10514	11137	-	KFELJI_00075	rcsA	transcriptional activator for ctr capsule biosynthesis	COG:COG2771, COG:K, GO:0003677, GO:0006355, GO:0050896, KEGG:K07781, RefSeq:WP_002911561.1, SO:0001217, UniParc:UPI000013347D, UniRef:UniRef100_P05338, UniRef:UniRef50_P0DMD0, UniRef:UniRef90_P05338, VFDB:VFC0301, VFDB:VFG049007
contig_1	cds	11513	11944	+	KFELJI_00080		Lipoprotein	RefSeq:WP_004175397.1, SO:0001217, UniParc:UPI0001A5866B, UniRef:UniRef100_A0A7U1PM92, UniRef:UniRef50_A0A1B7I5J8, UniRef:UniRef90_W1ET65
contig_1	cds	11986	13473	-	KFELJI_00085	amyA	alpha-amylase	COG:COG0366, COG:G, RefSeq:WP_004189225.1, SO:0001217, UniParc:UPI00015765BB, UniRef:UniRef100_A0A0H3GS77, UniRef:UniRef50_P26613, UniRef:UniRef90_A0A486I1F8
contig_1	cds	13707	14474	+	KFELJI_00090	tcyJ	cystine ABC transporter substrate-binding protein	COG:COG0834, COG:ET, SO:0001217, UniParc:UPI00028311D9, UniRef:UniRef100_A0A0S3DBU0, UniRef:UniRef50_P0AEN0, UniRef:UniRef90_A0A163V596
contig_1	cds	14570	15556	+	KFELJI_00095	dcyD	D-cysteine desulfhydrase	COG:COG2515, COG:E, EC:4.4.1.15, GO:0019148, GO:0046416, RefSeq:WP_009307523.1, SO:0001217, UniParc:UPI000240FFD9, UniRef:UniRef100_A0A422YXS2, UniRef:UniRef50_Q8XBC7, UniRef:UniRef90_A6TB69
contig_1	cds	15572	16240	+	KFELJI_00100	tcyL	cystine ABC transporter permease	COG:COG0765, COG:E, RefSeq:WP_002911547.1, SO:0001217, UniParc:UPI00015765B8, UniRef:UniRef100_A0A7U7F5I1, UniRef:UniRef50_P0AFT3, UniRef:UniRef90_A0A078LCQ7
contig_1	cds	16237	16989	+	KFELJI_00105	yecC	L-cystine ABC transporter ATP-binding protein YecC	COG:COG1126, COG:E, SO:0001217, UniRef:UniRef50_A0A483LTN2, UniRef:UniRef90_A0A483LTN2
contig_1	cds	17307	18029	+	KFELJI_00110	sdiA	transcriptional regulator SdiA	COG:COG2771, COG:K, KEGG:K07782, RefSeq:WP_002911542.1, SO:0001217, UniParc:UPI0001A5866A, UniRef:UniRef100_W1DR25, UniRef:UniRef50_P07026, UniRef:UniRef90_A0A0B7G357
contig_1	cds	18097	18321	-	KFELJI_00115		DUF2594 domain-containing protein	RefSeq:WP_002911541.1, SO:0001217, UniParc:UPI00015765B5, UniRef:UniRef100_A0A7U7F5I5, UniRef:UniRef50_S3J8F6, UniRef:UniRef90_A0A5C2LIF0
contig_1	cds	18783	19439	+	KFELJI_00120	uvrY	UvrY/SirA/GacA family response regulator transcription factor	COG:COG2197, COG:TK, RefSeq:WP_002911539.1, SO:0001217, UniParc:UPI0001813CBA, UniRef:UniRef100_A0A7U7F5M8, UniRef:UniRef50_A0A0G3CJ24, UniRef:UniRef90_A0A0F1L246
contig_1	cds	19436	21268	+	KFELJI_00125	uvrC	excinuclease ABC subunit UvrC	COG:COG0322, COG:L, KEGG:K03703, RefSeq:WP_039817844.1, SO:0001217, UniParc:UPI0005852E77, UniRef:UniRef100_A0A4S7LMQ1, UniRef:UniRef50_D0L1Q3, UniRef:UniRef90_W9BI01
contig_1	cds	21326	21874	+	KFELJI_00130	pgsA	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	COG:COG0558, COG:I, RefSeq:WP_004141115.1, SO:0001217, UniParc:UPI00015765B2, UniRef:UniRef100_A0A7U7IJW0, UniRef:UniRef50_Q6D364, UniRef:UniRef90_L0M4R8
contig_1	tRNA	22025	22100	+	KFELJI_00135	Gly_trna	tRNA-Gly(gcc)	SO:0000260
